Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
21:34:56:451,6,-0.013,-0.995,-265.300,-72.800,-93.400,0.312,2.312,-0.188
21:34:56:576,0.026,-0.012,-0.994,-264.300,-72.600,-93.300,0.312,2.875,0.000
21:34:56:731,0.024,-0.013,-0.992,-266.000,-71.400,-95.600,-0.125,2.438,0.125
21:34:56:884,0.022,-0.016,-0.991,-264.800,-73.000,-91.000,-0.062,2.688,0.000
21:34:57:033,0.026,-0.010,-0.996,-263.300,-71.100,-93.000,0.375,2.812,-0.062
21:34:57:186,0.031,-0.015,-0.992,-265.500,-72.500,-92.600,-0.125,2.875,0.250
21:34:57:339,0.027,-0.011,-0.995,-265.300,-73.300,-93.900,-0.312,2.500,0.125
21:34:57:498,0.029,-0.013,-0.991,-265.600,-73.500,-91.600,-0.188,3.438,0.250
21:34:57:642,0.031,-0.008,-0.996,-265.500,-72.800,-92.600,0.188,2.688,0.188
21:34:57:789,0.030,-0.011,-1.002,-263.900,-71.800,-93.100,-0.062,2.375,0.125
21:34:57:916,0.028,-0.012,-0.999,-266.400,-72.500,-92.900,0.125,2.625,-0.062
21:34:58:089,0.026,-0.013,-0.992,-264.500,-71.300,-92.300,-0.062,3.125,-0.312
21:34:58:228,0.029,-0.009,-0.988,-265.900,-72.300,-92.200,0.125,2.562,0.312
21:34:58:379,0.026,-0.010,-0.990,-264.500,-73.300,-90.800,0.500,3.312,0.312
21:34:58:543,0.023,-0.016,-1.001,-265.200,-73.100,-91.100,-0.500,2.812,0.188
21:34:58:700,0.027,-0.006,-0.999,-264.800,-72.500,-93.500,-0.625,2.938,0.375
21:34:58:859,0.022,-0.012,-0.993,-264.500,-72.400,-91.900,-0.312,2.625,-0.062
21:34:59:016,0.024,-0.008,-0.995,-265.600,-70.800,-92.500,-0.625,3.062,0.250
21:34:59:155,0.028,-0.016,-0.990,-265.700,-72.200,-90.900,-0.250,2.500,0.250
21:34:59:311,0.024,-0.015,-1.003,-264.800,-72.200,-93.100,-0.188,2.812,0.062
21:34:59:463,0.028,-0.010,-0.993,-264.600,-73.500,-94.500,-0.188,2.688,0.062
21:34:59:602,0.025,-0.013,-0.996,-265.200,-71.900,-91.800,-0.188,2.750,-0.188
21:34:59:750,0.024,-0.010,-0.986,-265.000,-72.300,-91.600,-0.125,2.562,0.062
21:34:59:901,0.024,-0.015,-0.989,-265.400,-73.500,-93.000,-0.312,2.500,0.250
21:35:00:062,0.025,-0.012,-0.994,-264.900,-72.500,-92.200,-0.375,3.562,-0.062
21:35:00:217,0.027,-0.012,-0.997,-265.000,-73.100,-92.300,-0.250,2.312,0.188
21:35:00:372,0.029,-0.011,-0.999,-266.000,-72.700,-91.400,0.312,3.000,0.500
21:35:00:522,0.029,-0.006,-0.995,-265.000,-71.600,-94.300,-0.250,2.438,0.000
21:35:00:679,0.023,-0.010,-0.994,-265.400,-70.400,-90.500,-0.125,2.312,0.125
21:35:00:848,0.025,-0.008,-0.997,-263.700,-72.200,-93.300,-0.062,2.188,-0.312
21:35:01:005,0.023,-0.016,-1.000,-264.700,-72.200,-91.800,-0.062,2.500,0.000
21:35:01:157,0.023,-0.009,-0.989,-265.200,-71.400,-91.000,-0.375,2.438,0.062
21:35:01:304,0.026,-0.014,-0.996,-263.100,-72.500,-92.100,0.188,2.438,0.312
21:35:01:457,0.029,-0.010,-0.996,-266.500,-72.100,-92.300,-0.500,2.312,-0.062
21:35:01:600,0.030,-0.013,-0.994,-264.000,-72.800,-92.300,0.250,3.312,0.438
21:35:01:733,0.029,-0.010,-0.986,-266.800,-71.000,-92.800,0.375,2.875,0.375
21:35:01:895,0.026,-0.009,-0.998,-265.700,-71.700,-93.000,0.000,2.688,0.125
21:35:02:024,0.028,-0.008,-0.996,-266.100,-71.000,-93.500,-0.438,2.562,0.062
21:35:02:177,0.023,-0.013,-0.997,-264.500,-70.900,-93.400,0.250,2.562,0.438
21:35:02:329,0.027,-0.010,-0.990,-264.400,-73.000,-90.800,-0.188,2.938,-0.188
21:35:02:487,0.026,-0.015,-1.000,-265.600,-71.200,-92.700,0.062,2.812,-0.125
21:35:02:642,0.024,-0.010,-0.997,-264.300,-72.400,-92.500,0.250,2.188,0.312
21:35:02:784,0.032,-0.014,-0.996,-265.500,-70.900,-90.500,0.312,2.750,-0.125
21:35:02:931,0.029,-0.016,-0.997,-266.700,-72.400,-93.500,0.750,2.938,0.312
21:35:03:085,0.026,-0.016,-0.995,-265.300,-72.600,-92.400,0.000,2.750,0.062
21:35:03:232,0.025,-0.009,-0.992,-264.300,-72.900,-92.800,0.625,2.875,0.188
21:35:03:382,0.024,-0.013,-0.994,-264.000,-73.600,-95.000,0.188,2.875,0.000
21:35:03:541,0.027,-0.014,-0.996,-266.100,-71.600,-93.400,-0.062,2.812,-0.125
21:35:03:682,0.028,-0.011,-0.994,-265.300,-71.600,-92.000,0.250,2.625,-0.125
