Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
00:37:32:765,0.027,-0.008,-0.997,-264.600,-72.700,-94.300,0.000,2.812,0.312
00:37:32:910,0.026,-0.014,-0.993,-263.500,-72.200,-93.600,0.250,2.938,-0.312
00:37:33:021,0.024,-0.012,-0.999,-264.400,-72.600,-93.600,0.625,2.688,0.188
00:37:33:106,0.030,-0.010,-0.991,-263.300,-71.600,-94.400,0.938,2.812,0.188
00:37:33:227,0.033,-0.011,-0.998,-264.900,-71.900,-94.900,0.438,3.062,0.125
00:37:33:342,0.027,-0.016,-0.991,-264.900,-74.100,-95.400,-0.188,2.625,0.188
00:37:33:434,0.023,-0.011,-0.996,-264.300,-72.300,-93.400,-0.188,2.812,0.125
00:37:33:536,0.027,-0.016,-0.991,-264.000,-71.200,-93.600,0.375,2.812,0.312
00:37:33:655,0.027,-0.013,-0.991,-264.900,-72.600,-94.200,0.125,3.062,0.188
00:37:33:791,0.028,-0.013,-0.997,-264.100,-72.000,-91.500,-0.125,2.938,-0.125
00:37:33:900,0.027,-0.008,-0.993,-264.700,-72.400,-92.100,0.312,3.188,0.250
00:37:33:994,0.030,-0.011,-0.988,-264.300,-72.300,-93.500,0.062,3.000,0.375
00:37:34:116,0.024,-0.016,-0.990,-263.500,-71.400,-93.400,0.312,2.875,0.188
00:37:34:234,0.028,-0.007,-0.992,-265.000,-72.800,-91.700,-0.375,2.875,0.125
00:37:34:335,0.024,-0.013,-0.988,-263.700,-72.900,-94.200,0.062,2.562,0.062
00:37:34:444,0.027,-0.008,-0.989,-264.300,-72.200,-92.100,-0.250,2.750,0.250
00:37:34:556,0.027,-0.015,-0.991,-263.600,-73.000,-94.300,0.312,2.562,-0.062
00:37:34:682,0.027,-0.010,-0.995,-263.700,-73.300,-93.200,0.500,2.562,0.188
00:37:34:820,0.019,-0.011,-0.992,-263.300,-72.900,-93.500,-0.125,2.625,0.312
00:37:34:896,0.027,-0.012,-0.993,-263.600,-72.000,-92.900,0.000,2.688,0.250
00:37:35:031,0.023,-0.014,-0.993,-264.500,-72.400,-92.800,0.062,2.875,0.062
00:37:35:133,0.027,-0.013,-0.991,-263.800,-72.100,-93.300,0.688,3.000,0.250
00:37:35:226,0.028,-0.008,-0.995,-264.200,-72.600,-93.800,0.125,3.000,0.312
00:37:35:359,0.023,-0.014,-0.996,-263.700,-72.800,-93.200,0.438,2.938,-0.125
00:37:35:445,0.028,-0.011,-0.990,-264.800,-73.400,-92.800,0.125,3.250,0.062
00:37:35:575,0.028,-0.010,-0.995,-264.200,-71.600,-92.200,-0.188,2.750,0.062
00:37:35:678,0.029,-0.009,-0.996,-264.100,-73.000,-93.000,-0.750,2.562,-0.125
00:37:35:785,0.028,-0.011,-0.988,-262.300,-72.600,-93.100,0.250,3.250,0.250
00:37:35:907,0.026,-0.014,-0.988,-265.200,-72.800,-92.900,0.562,3.312,0.062
00:37:36:022,0.027,-0.014,-0.997,-263.500,-71.900,-92.100,-0.125,2.562,0.312
00:37:36:134,0.028,-0.014,-0.994,-264.100,-72.300,-93.400,0.188,3.000,0.062
00:37:36:235,0.026,-0.013,-0.989,-263.600,-72.400,-92.500,0.312,2.312,0.312
00:37:36:366,0.025,-0.008,-0.991,-265.000,-71.600,-92.900,-0.250,2.688,0.000
00:37:36:490,0.032,-0.011,-0.996,-264.600,-71.800,-94.700,-0.375,2.688,0.312
00:37:36:599,0.024,-0.018,-0.998,-265.000,-72.600,-93.400,0.375,3.062,0.188
00:37:36:692,0.027,-0.014,-0.988,-265.600,-71.800,-93.200,0.250,2.875,0.188
00:37:36:830,0.028,-0.007,-0.996,-264.500,-73.000,-95.500,0.188,3.062,0.188
00:37:36:888,0.030,-0.018,-0.988,-262.900,-72.400,-94.200,0.312,2.812,-0.250
00:37:37:029,0.026,-0.012,-0.997,-265.000,-72.500,-94.300,0.625,2.438,0.000
00:37:37:124,0.027,-0.013,-1.006,-263.400,-72.400,-93.800,0.062,2.750,-0.125
00:37:37:260,0.029,-0.012,-0.987,-265.500,-71.700,-92.300,0.500,2.625,0.438
00:37:37:328,0.029,-0.013,-0.993,-265.400,-72.600,-92.700,0.250,3.188,0.125
00:37:37:473,0.025,-0.010,-0.987,-264.700,-71.300,-93.300,0.000,2.062,0.375
00:37:37:565,0.030,-0.009,-0.989,-263.400,-72.400,-93.900,0.500,3.188,0.000
00:37:37:683,0.031,-0.010,-0.998,-263.800,-71.400,-94.500,0.562,2.938,0.312
00:37:37:782,0.021,-0.011,-0.990,-263.000,-73.000,-93.400,0.438,2.938,0.062
00:37:37:913,0.028,-0.005,-0.989,-262.900,-72.200,-92.000,0.250,2.188,0.062
00:37:38:014,0.027,-0.013,-0.989,-264.300,-72.300,-92.800,0.250,2.375,0.312
00:37:38:107,0.030,-0.012,-0.990,-264.500,-71.700,-93.100,0.000,2.500,0.062
00:37:38:226,0.022,-0.015,-0.989,-264.700,-72.600,-93.200,0.500,3.000,0.188
00:37:38:343,0.030,-0.008,-0.989,-263.700,-72.800,-93.100,0.125,2.375,0.125
00:37:38:446,0.026,-0.015,-0.991,-266.000,-72.400,-91.700,0.625,2.875,0.438
00:37:38:575,0.027,-0.012,-0.994,-263.600,-73.000,-93.900,0.562,2.250,0.188
00:37:38:693,0.026,-0.012,-0.996,-265.400,-72.700,-93.600,0.062,2.625,-0.062
00:37:38:778,0.026,-0.008,-0.990,-264.600,-72.400,-93.800,0.000,3.000,0.312
00:37:38:912,0.029,-0.012,-0.998,-265.900,-71.100,-92.500,0.125,2.250,0.250
00:37:39:005,0.024,-0.010,-0.999,-264.500,-73.200,-94.100,0.438,3.125,-0.125
00:37:39:133,0.028,-0.015,-0.996,-265.300,-72.100,-92.100,-0.500,2.438,0.375
00:37:39:235,0.028,-0.013,-0.997,-265.000,-72.000,-93.200,0.625,3.000,0.250
00:37:39:352,0.026,-0.014,-1.004,-263.700,-71.700,-91.400,0.188,2.312,0.250
00:37:39:452,0.029,-0.012,-0.995,-263.200,-72.700,-93.500,0.750,2.562,0.188
00:37:39:571,0.028,-0.012,-0.995,-265.200,-72.400,-92.600,-0.375,3.062,0.125
00:37:39:665,0.027,-0.005,-0.994,-264.700,-71.200,-93.000,0.188,2.875,0.125
00:37:39:794,0.026,-0.013,-0.998,-265.000,-72.500,-93.300,-0.125,2.688,0.125
00:37:39:915,0.028,-0.013,-0.997,-264.200,-73.500,-91.500,-0.062,2.875,0.062
00:37:40:014,0.025,-0.015,-0.997,-264.600,-73.300,-95.000,0.438,2.938,-0.062
00:37:40:124,0.026,-0.012,-0.992,-265.200,-72.500,-94.900,0.188,2.688,0.250
00:37:40:256,0.030,-0.020,-0.991,-264.700,-73.400,-95.300,0.312,2.812,0.125
00:37:40:345,0.022,-0.016,-0.992,-265.600,-72.100,-92.000,0.000,2.688,0.062
00:37:40:454,0.026,-0.018,-0.992,-264.800,-72.000,-93.000,0.562,2.812,0.062
00:37:40:558,0.026,-0.010,-0.993,-264.100,-71.800,-93.300,-0.125,3.125,0.062
00:37:40:691,0.025,-0.011,-0.989,-266.000,-73.300,-93.200,0.188,2.812,0.312
