Time,Ax,Ay,Az,Gx,Gy,Gz
11:03:14:023,0.02000799961388111,0.011711999773979187,-0.987712025642395,0.3125,3.0625,0.5
11:03:14:073,0.025863999500870705,0.009759999811649323,-0.9974719882011414,0.6875,2.5625,-0.0625
11:03:14:135,0.02147199958562851,0.011711999773979187,-1.002351999282837,-0.75,3.0625,0.5625
11:03:14:176,0.022447999566793442,0.015615999698638916,-0.9925919771194458,-0.375,2.125,0.0625
11:03:14:226,0.02000799961388111,0.006831999868154526,-1.004304051399231,-1.0,2.875,0.125
11:03:14:284,0.02000799961388111,0.014639999717473984,-0.9984480142593384,0.3125,2.75,0.0625
11:03:14:344,0.022935999557375908,0.01268799975514412,-0.9925919771194458,0.25,2.75,0.125
11:03:14:376,0.02537599951028824,0.011711999773979187,-0.9945440292358398,0.375,2.5625,0.375
11:03:14:427,0.022447999566793442,0.010735999792814255,-0.9935680031776428,0.0625,2.9375,0.3125
11:03:14:485,0.023423999547958374,0.01268799975514412,-0.986735999584198,-0.25,2.8125,0.375
11:03:14:526,0.022935999557375908,0.00878399983048439,-0.9964960217475891,1.4375,2.5625,0.25
11:03:14:576,0.019519999623298645,0.015615999698638916,-0.9886879920959473,0.0,2.625,0.0625
11:03:14:636,0.021959999576210976,0.010735999792814255,-0.9935680031776428,-0.125,2.375,0.125
11:03:14:693,0.024399999529123306,0.014151999726891518,-0.9906399846076965,0.75,2.5625,0.0625
11:03:14:744,0.023423999547958374,0.009759999811649323,-0.9935680031776428,-0.0625,2.5625,0.25
11:03:14:785,0.02537599951028824,0.010735999792814255,-0.9974719882011414,-1.3125,2.8125,0.25
11:03:14:836,0.023423999547958374,0.018055999651551247,-0.9945440292358398,1.1875,2.5625,-0.125
11:03:14:876,0.020983999595046043,0.010735999792814255,-1.0033279657363892,-1.25,2.5625,0.0
11:03:14:944,0.024399999529123306,0.010735999792814255,-0.9964960217475891,-0.375,2.5625,0.0625
11:03:14:986,0.023423999547958374,0.014639999717473984,-0.9964960217475891,-0.5,2.75,0.1875
11:03:15:036,0.01756799966096878,0.013663999736309052,-1.0013760328292847,-0.25,2.4375,0.125
11:03:15:086,0.019519999623298645,0.011711999773979187,-0.9955199956893921,0.8125,2.875,0.25
11:03:15:144,0.02537599951028824,0.010735999792814255,-0.9896640181541443,0.5,2.9375,0.25
11:03:15:178,0.022447999566793442,0.01268799975514412,-0.9984480142593384,0.5,2.75,0.25
11:03:15:226,0.02537599951028824,0.01268799975514412,-0.9886879920959473,-0.75,1.9375,0.25
11:03:15:285,0.020983999595046043,0.01659199967980385,-0.9945440292358398,0.375,2.3125,-0.125
11:03:15:325,0.02147199958562851,0.011711999773979187,-0.9886879920959473,0.375,2.5625,-0.125
11:03:15:394,0.024399999529123306,0.00878399983048439,-0.9955199956893921,-0.25,2.6875,-0.0625
11:03:15:427,0.023423999547958374,0.013663999736309052,-0.9964960217475891,0.75,2.875,0.125
11:03:15:485,0.02537599951028824,0.010735999792814255,-0.9896640181541443,0.0,2.625,0.125
11:03:15:542,0.021959999576210976,0.01268799975514412,-0.9925919771194458,0.4375,2.4375,0.0625
11:03:15:580,0.024887999519705772,0.015615999698638916,-0.9984480142593384,0.125,2.5625,-0.125
11:03:15:623,0.022447999566793442,0.013663999736309052,-0.9916160106658936,0.25,2.875,0.3125
11:03:15:685,0.01756799966096878,0.015615999698638916,-0.9935680031776428,0.3125,2.9375,0.0
11:03:15:726,0.025863999500870705,0.01268799975514412,-0.9964960217475891,-0.5625,2.8125,0.3125
11:03:15:784,0.022447999566793442,0.010735999792814255,-0.9955199956893921,0.8125,2.75,0.0
11:03:15:844,0.021959999576210976,0.011711999773979187,-1.002351999282837,-0.625,2.8125,0.5625
11:03:15:890,0.020983999595046043,0.014639999717473984,-1.0033279657363892,0.6875,2.875,0.3125
11:03:15:942,0.01756799966096878,0.011711999773979187,-0.9886879920959473,1.1875,3.25,0.3125
