Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
21:19:59:509,0.023,-0.014,-1.002,-265.400,-70.900,-90.600,-0.312,2.812,-0.062
21:19:59:632,0.028,-0.007,-0.996,-265.500,-72.000,-93.400,-0.438,2.625,0.312
21:19:59:800,0.033,-0.013,-0.992,-267.700,-71.000,-92.300,-0.188,2.875,0.062
21:19:59:943,0.024,-0.011,-0.992,-267.300,-71.800,-93.000,0.000,2.500,0.062
21:20:00:113,0.029,-0.014,-0.995,-265.200,-72.100,-92.500,0.250,2.938,0.562
21:20:00:264,0.030,-0.014,-0.995,-267.100,-71.500,-93.900,0.125,2.625,0.188
21:20:00:406,0.024,-0.009,-0.990,-265.600,-71.000,-94.700,-0.312,2.875,0.375
21:20:00:585,0.030,-0.015,-0.994,-266.100,-71.000,-92.700,0.250,2.875,0.125
21:20:00:741,0.025,-0.012,-0.996,-265.900,-72.900,-93.000,-0.375,2.250,0.125
21:20:00:885,0.031,-0.017,-0.993,-266.300,-71.600,-93.000,0.125,2.438,0.250
21:20:01:037,0.027,-0.010,-0.995,-266.400,-73.100,-91.300,-0.125,2.750,0.250
21:20:01:171,0.026,-0.010,-0.997,-265.000,-70.600,-92.800,-0.062,2.000,-0.062
21:20:01:314,0.023,-0.008,-0.991,-266.400,-71.600,-93.000,0.188,2.625,0.250
21:20:01:473,0.023,-0.008,-0.994,-265.900,-73.100,-92.700,-0.375,3.188,0.250
21:20:01:614,0.024,-0.009,-0.996,-264.500,-72.800,-91.500,0.125,2.812,0.250
21:20:01:776,0.026,-0.010,-0.996,-266.000,-72.700,-94.300,0.188,2.938,0.188
21:20:01:935,0.028,-0.013,-0.989,-266.100,-72.700,-93.000,0.250,2.625,0.188
21:20:02:098,0.031,-0.015,-0.996,-266.800,-72.100,-92.200,-0.312,2.688,0.250
21:20:02:242,0.027,-0.011,-0.997,-263.800,-71.600,-93.000,0.000,2.812,0.188
21:20:02:413,0.029,-0.013,-0.997,-265.300,-72.500,-93.400,0.375,2.875,0.188
21:20:02:591,0.029,-0.014,-0.997,-266.700,-73.200,-93.000,-0.062,2.875,0.250
21:20:02:746,0.028,-0.010,-0.993,-265.800,-72.100,-93.000,-0.250,2.562,0.500
21:20:02:884,0.026,-0.012,-0.990,-265.700,-71.900,-94.700,0.188,2.688,0.062
21:20:03:052,0.024,-0.011,-0.995,-266.000,-72.800,-92.200,-0.500,2.312,0.375
