Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
00:26:13:779,0.030,-0.013,-0.992,-264.700,-72.200,-94.500,0.188,2.625,0.312
00:26:13:874,0.030,-0.008,-0.982,-265.300,-72.500,-93.200,0.188,2.875,0.188
00:26:14:004,0.026,-0.013,-0.993,-264.800,-72.800,-93.100,-0.062,2.562,0.188
00:26:14:119,0.027,-0.013,-0.993,-264.900,-74.200,-92.800,0.688,2.688,0.188
00:26:14:231,0.027,-0.010,-0.991,-265.200,-72.500,-92.200,0.125,3.188,0.125
00:26:14:352,0.028,-0.013,-0.988,-264.500,-73.600,-92.500,0.500,3.250,-0.188
00:26:14:463,0.023,-0.012,-0.991,-264.900,-73.300,-91.500,0.125,2.625,-0.125
00:26:14:578,0.027,-0.008,-0.992,-265.800,-73.200,-95.100,-0.062,2.812,0.375
00:26:14:678,0.027,-0.014,-1.002,-266.500,-73.400,-91.700,-0.375,2.562,0.312
00:26:14:798,0.025,-0.015,-0.999,-265.900,-73.300,-90.400,0.062,2.438,0.062
00:26:14:927,0.023,-0.007,-0.992,-265.100,-73.400,-93.700,0.000,2.500,0.250
00:26:15:070,0.030,-0.013,-0.997,-265.000,-72.500,-92.800,-0.062,2.562,0.000
00:26:15:154,0.030,-0.013,-0.998,-263.400,-72.700,-92.400,0.812,3.062,0.125
00:26:15:258,0.024,-0.006,-0.998,-264.600,-73.700,-92.200,0.062,3.375,0.250
00:26:15:394,0.028,-0.013,-0.989,-264.700,-73.300,-92.800,-0.375,2.000,-0.062
00:26:15:529,0.025,-0.010,-1.003,-266.600,-72.700,-92.500,-0.375,2.812,0.188
00:26:15:636,0.028,-0.008,-0.994,-264.000,-72.900,-91.100,0.312,2.750,0.438
00:26:15:757,0.029,-0.015,-0.996,-265.000,-72.200,-94.800,-0.375,2.312,0.188
00:26:15:868,0.026,-0.012,-0.994,-265.400,-72.800,-93.900,0.062,2.625,-0.188
00:26:15:993,0.025,-0.009,-0.991,-266.700,-73.700,-89.500,0.625,3.000,-0.062
00:26:16:119,0.026,-0.002,-1.027,-264.000,-73.000,-92.200,0.062,3.000,0.000
00:26:16:217,0.027,-0.012,-0.994,-264.400,-72.400,-93.400,0.875,2.375,0.188
00:26:16:355,0.028,-0.012,-0.987,-264.500,-73.600,-92.600,0.562,3.000,0.312
00:26:16:466,0.025,-0.010,-1.010,-264.400,-74.000,-90.100,0.250,2.438,0.188
00:26:16:599,0.030,-0.013,-0.996,-265.300,-72.800,-93.200,0.375,2.625,0.250
00:26:16:689,0.027,-0.015,-0.992,-265.700,-74.800,-93.100,0.812,2.750,0.062
00:26:16:842,0.026,-0.013,-0.992,-264.900,-73.800,-92.200,0.500,2.438,0.062
00:26:16:935,0.032,-0.013,-0.990,-263.600,-73.700,-92.500,-0.562,2.750,0.000
00:26:17:076,0.027,-0.007,-0.992,-266.200,-73.500,-93.300,0.312,2.625,0.125
00:26:17:178,0.024,-0.013,-0.991,-265.000,-72.700,-93.400,-0.250,2.875,0.062
00:26:17:294,0.024,-0.010,-0.991,-265.900,-74.300,-91.400,0.062,2.625,0.250
00:26:17:429,0.025,-0.009,-0.996,-265.900,-72.600,-93.300,0.250,2.938,0.062
00:26:17:553,0.024,-0.020,-0.996,-264.800,-72.700,-93.100,-0.438,2.562,0.188
00:26:17:666,0.027,-0.013,-0.988,-263.700,-72.600,-91.000,-0.125,2.938,0.125
00:26:17:792,0.028,-0.012,-0.991,-265.500,-73.600,-92.200,-0.312,2.375,0.188
00:26:17:901,0.028,-0.012,-0.989,-263.700,-73.700,-92.700,0.188,2.312,0.000
00:26:17:999,0.027,-0.013,-0.991,-265.300,-73.900,-91.500,0.250,3.062,0.125
00:26:18:144,0.022,-0.016,-0.997,-263.000,-73.000,-94.600,0.562,2.562,-0.062
00:26:18:269,0.028,-0.010,-0.997,-264.600,-73.000,-93.200,0.375,2.875,0.062
00:26:18:374,0.028,-0.013,-0.997,-266.100,-72.800,-93.900,-0.062,2.875,-0.250
00:26:18:495,0.028,-0.014,-0.993,-265.600,-74.100,-94.300,0.500,2.375,-0.125
00:26:18:615,0.026,-0.015,-0.990,-264.600,-73.000,-92.500,0.375,3.188,0.312
00:26:18:717,0.027,-0.010,-0.990,-264.600,-74.300,-92.300,0.375,2.500,0.000
00:26:18:835,0.023,-0.012,-0.996,-265.100,-73.100,-91.000,-0.438,2.688,0.312
00:26:18:965,0.023,-0.012,-0.994,-263.900,-73.600,-93.400,-0.250,2.688,0.000
00:26:19:074,0.027,-0.008,-1.002,-264.800,-73.600,-94.000,0.375,2.875,0.000
00:26:19:178,0.026,-0.012,-0.994,-264.600,-72.700,-91.300,0.250,3.062,0.062
00:26:19:323,0.027,-0.011,-0.992,-263.700,-72.800,-92.100,0.562,3.312,0.000
00:26:19:416,0.024,-0.009,-0.992,-265.300,-73.100,-91.800,0.125,3.188,0.188
00:26:19:546,0.028,-0.013,-0.991,-265.300,-74.200,-94.600,0.188,3.000,0.000
00:26:19:673,0.025,-0.007,-0.996,-265.600,-73.600,-92.400,0.000,2.938,-0.062
00:26:19:785,0.029,-0.013,-0.996,-265.500,-73.300,-93.900,0.375,2.500,0.000
00:26:19:886,0.025,-0.015,-0.991,-264.400,-73.100,-92.700,0.188,2.562,0.375
00:26:20:015,0.026,-0.011,-0.996,-264.600,-72.500,-92.700,-0.375,2.562,0.250
00:26:20:135,0.028,-0.021,-1.000,-265.600,-74.600,-92.200,0.062,3.062,-0.062
00:26:20:262,0.029,-0.015,-0.991,-264.800,-72.300,-93.200,0.000,2.938,0.125
