Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
00:29:27:856,0.030,-0.007,-0.992,-264.000,-74.100,-94.500,-0.125,2.625,-0.250
00:29:27:978,0.029,-0.018,-0.996,-265.500,-72.400,-92.700,0.188,2.562,-0.062
00:29:28:121,0.027,-0.014,-0.994,-265.500,-73.200,-92.600,0.500,2.625,0.188
00:29:28:247,0.029,-0.013,-0.990,-265.500,-72.100,-93.700,0.125,2.625,0.188
00:29:28:424,0.026,-0.012,-0.996,-265.900,-73.300,-92.000,-0.250,2.812,0.312
00:29:28:589,0.026,-0.011,-0.990,-264.200,-72.900,-93.400,-0.062,2.188,-0.188
00:29:28:720,0.028,-0.016,-0.996,-265.700,-73.200,-93.300,-0.062,3.000,0.125
00:29:28:844,0.027,-0.010,-0.996,-263.900,-73.400,-91.500,0.188,2.875,0.062
00:29:28:986,0.029,-0.012,-0.994,-264.500,-72.900,-93.700,0.250,2.625,0.312
00:29:29:221,0.029,-0.011,-1.003,-265.200,-73.800,-92.200,0.250,2.688,0.125
00:29:29:444,0.025,-0.013,-0.990,-264.100,-72.600,-92.500,0.312,2.375,0.188
00:29:29:675,0.029,-0.004,-0.995,-264.400,-73.400,-93.400,0.438,2.625,0.062
00:29:29:858,0.030,-0.010,-0.989,-264.500,-73.700,-92.900,-0.250,2.875,0.250
00:29:30:070,0.027,-0.013,-0.992,-263.100,-72.900,-91.400,0.062,3.312,0.000
00:29:30:272,0.024,-0.010,-0.993,-265.500,-72.600,-92.700,-0.250,3.125,-0.188
00:29:30:468,0.024,-0.011,-1.003,-265.000,-72.700,-93.800,-0.312,2.562,0.125
00:29:30:689,0.022,-0.012,-0.996,-264.800,-73.100,-95.200,0.250,2.938,0.188
00:29:30:900,0.024,-0.012,-0.994,-264.900,-73.900,-92.700,0.250,3.062,-0.062
00:29:31:089,0.028,-0.016,-1.000,-263.800,-72.700,-91.900,-0.125,2.438,0.188
00:29:31:312,0.027,-0.006,-0.993,-265.300,-73.200,-92.600,0.062,2.500,-0.062
00:29:31:514,0.027,-0.012,-0.996,-264.900,-72.600,-90.800,0.312,2.625,0.000
00:29:31:715,0.028,-0.013,-1.001,-264.200,-73.600,-92.300,0.375,2.875,0.125
00:29:31:936,0.027,-0.018,-0.993,-264.600,-71.600,-91.600,-0.438,2.625,0.375
00:29:32:131,0.028,-0.006,-0.992,-264.700,-74.400,-93.400,0.312,2.750,0.625
00:29:32:349,0.025,-0.007,-0.994,-266.000,-72.300,-92.300,0.312,2.562,0.062
00:29:32:577,0.027,-0.009,-0.991,-264.500,-72.700,-92.600,0.062,2.875,-0.062
00:29:32:770,0.029,-0.012,-0.993,-264.600,-73.500,-93.000,0.125,2.812,-0.125
00:29:32:976,0.028,-0.011,-0.992,-264.100,-72.900,-92.200,0.250,2.625,0.000
00:29:33:222,0.028,-0.009,-0.996,-265.200,-72.400,-94.300,-0.062,2.250,-0.188
00:29:33:443,0.023,-0.012,-0.993,-264.500,-73.800,-93.700,0.125,3.062,0.250
00:29:33:659,0.025,-0.011,-0.994,-264.700,-73.700,-92.100,0.562,3.188,0.125
00:29:33:869,0.026,-0.011,-0.994,-265.200,-73.700,-93.100,-0.188,2.750,0.375
00:29:34:073,0.021,-0.011,-0.994,-265.600,-74.800,-89.500,0.250,3.062,-0.250
00:29:34:289,0.027,-0.012,-0.989,-264.200,-73.200,-92.200,0.062,3.188,0.250
00:29:34:518,0.026,-0.012,-0.997,-263.600,-73.500,-93.600,0.188,2.938,0.312
00:29:34:729,0.029,-0.012,-0.996,-263.900,-73.200,-93.200,-0.438,3.062,0.250
00:29:34:919,0.028,-0.015,-0.995,-264.800,-74.100,-91.900,0.062,2.562,-0.062
00:29:35:160,0.026,-0.010,-1.000,-264.800,-72.800,-91.500,0.312,2.562,0.375
00:29:35:361,0.024,-0.013,-0.995,-265.000,-73.900,-94.500,0.500,3.125,0.125
00:29:35:589,0.024,-0.012,-0.996,-264.300,-71.900,-93.500,0.062,3.188,0.000
00:29:35:780,0.032,-0.016,-0.990,-265.200,-72.600,-91.700,0.312,2.875,0.250
00:29:35:973,0.025,-0.009,-1.003,-264.000,-73.300,-93.000,-0.125,2.625,0.125
00:29:36:199,0.026,-0.011,-0.990,-264.700,-72.200,-92.200,0.312,2.250,0.188
00:29:36:415,0.026,-0.011,-0.989,-264.500,-73.200,-92.700,0.688,3.125,0.250
00:29:36:620,0.025,-0.008,-0.997,-265.400,-71.300,-90.500,-0.125,2.938,0.125
00:29:36:850,0.031,-0.013,-1.002,-264.800,-74.700,-93.200,0.188,2.375,0.125
00:29:37:050,0.026,-0.011,-1.001,-265.600,-72.300,-93.200,-0.188,2.875,0.188
00:29:37:275,0.031,-0.011,-0.993,-265.100,-73.700,-93.700,0.062,2.750,0.062
00:29:37:481,0.024,-0.007,-0.992,-264.000,-73.600,-93.300,-0.312,3.000,0.438
00:29:37:700,0.029,-0.014,-0.990,-263.900,-72.300,-92.800,0.312,2.875,0.125
00:29:37:891,0.021,-0.013,-1.004,-265.500,-72.900,-90.700,0.000,2.625,0.062
00:29:38:089,0.028,-0.014,-0.990,-264.000,-71.800,-90.600,0.250,2.688,0.250
00:29:38:318,0.029,-0.009,-0.996,-263.800,-73.100,-91.300,0.250,2.688,-0.188
00:29:38:534,0.025,-0.013,-0.995,-265.800,-72.400,-92.800,0.000,2.375,0.375
00:29:38:735,0.026,-0.014,-0.999,-264.300,-74.700,-93.900,0.188,2.438,0.062
00:29:38:952,0.028,-0.006,-0.993,-265.200,-73.100,-91.400,0.188,2.500,0.188
00:29:39:139,0.023,-0.013,-0.988,-263.500,-72.700,-92.400,0.812,2.500,-0.062
00:29:39:390,0.026,-0.009,-0.996,-263.200,-74.000,-92.200,-0.125,3.250,0.125
00:29:39:592,0.027,-0.011,-1.001,-263.800,-72.300,-92.300,0.188,2.625,0.312
00:29:39:796,0.028,-0.007,-0.990,-265.300,-74.100,-92.500,0.250,2.750,0.188
00:29:40:020,0.024,-0.011,-0.991,-263.900,-73.900,-91.900,0.000,2.938,0.062
00:29:40:238,0.023,-0.012,-0.995,-265.100,-73.000,-92.700,-0.062,2.250,0.438
00:29:40:438,0.025,-0.008,-0.997,-263.900,-74.700,-91.900,0.562,3.062,0.250
00:29:40:676,0.024,-0.010,-0.996,-264.900,-74.300,-93.400,-0.438,2.688,0.312
00:29:40:856,0.025,-0.014,-0.997,-266.100,-72.000,-92.400,0.000,2.750,0.188
00:29:41:080,0.030,-0.013,-0.989,-265.200,-72.100,-92.000,0.250,2.625,0.312
00:29:41:281,0.027,-0.016,-0.990,-265.400,-72.800,-91.100,0.250,2.875,0.250
00:29:41:499,0.028,-0.006,-0.994,-265.800,-72.500,-93.100,0.438,3.375,0.062
00:29:41:682,0.031,-0.010,-0.993,-263.500,-72.500,-93.000,0.188,3.000,0.188
00:29:41:890,0.030,-0.011,-0.991,-265.300,-72.600,-93.400,-0.188,3.125,0.312
00:29:42:149,0.032,-0.008,-1.003,-263.700,-72.700,-93.400,-0.188,3.375,-0.125
00:29:42:361,0.030,-0.012,-0.997,-265.400,-72.400,-92.900,-0.250,2.500,0.312
00:29:42:561,0.022,-0.013,-0.989,-265.000,-73.300,-93.500,0.250,2.625,0.062
00:29:42:779,0.028,-0.011,-0.993,-266.400,-73.300,-94.300,0.062,3.062,0.375
00:29:42:981,0.024,-0.014,-0.990,-264.700,-72.100,-93.300,0.125,2.500,0.000
00:29:43:198,0.026,-0.013,-0.990,-265.300,-72.700,-93.600,0.625,3.438,-0.188
00:29:43:420,0.025,-0.010,-0.990,-265.400,-72.200,-92.800,-0.125,2.875,0.250
