Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
21:43:44:733,0.028,-0.012,-1.000,-266.100,-73.200,-94.200,0.312,2.562,0.438
21:43:44:883,0.028,-0.018,-0.990,-264.000,-72.700,-93.100,-0.062,2.812,-0.125
21:43:45:037,0.029,-0.012,-0.988,-266.400,-72.200,-92.600,-0.125,2.562,0.125
21:43:45:191,0.026,-0.011,-0.994,-265.800,-71.800,-93.200,0.062,2.562,0.375
21:43:45:331,0.029,-0.007,-1.003,-265.800,-71.700,-91.600,0.312,2.875,0.188
21:43:45:483,0.030,-0.013,-0.995,-266.100,-71.800,-93.400,0.250,2.688,0.250
21:43:45:640,0.025,-0.018,-0.991,-265.400,-70.600,-92.000,-0.625,2.938,-0.062
21:43:45:806,0.028,-0.013,-0.995,-265.300,-72.600,-94.700,0.125,2.625,0.000
21:43:45:951,0.028,-0.011,-1.001,-264.900,-72.600,-92.500,0.625,3.062,0.000
21:43:46:102,0.029,-0.014,-0.998,-265.600,-72.100,-93.400,-0.062,2.250,0.625
21:43:46:276,0.029,-0.010,-0.988,-267.000,-70.300,-92.000,0.250,2.312,0.375
21:43:46:413,0.024,-0.009,-0.989,-265.100,-71.500,-94.500,0.062,3.250,0.062
21:43:46:581,0.024,-0.011,-0.996,-266.000,-73.400,-92.000,-0.250,2.688,0.062
21:43:46:742,0.028,-0.017,-0.995,-266.400,-71.400,-93.500,0.375,2.438,0.312
21:43:46:901,0.031,-0.013,-0.997,-265.900,-71.700,-92.100,0.438,3.125,0.312
21:43:47:037,0.028,-0.012,-0.998,-266.400,-72.900,-92.100,-0.188,2.688,0.125
21:43:47:195,0.024,-0.012,-0.992,-264.700,-71.100,-94.100,0.125,2.125,0.375
21:43:47:363,0.029,-0.007,-1.002,-267.000,-72.900,-96.300,0.250,2.438,0.250
21:43:47:515,0.028,-0.009,-0.995,-266.800,-71.200,-96.000,0.312,2.812,0.125
21:43:47:676,0.027,-0.023,-0.995,-265.100,-71.600,-92.600,-0.125,2.812,0.312
21:43:47:826,0.028,-0.012,-0.993,-266.300,-72.800,-94.400,-0.062,2.312,0.062
21:43:47:981,0.026,-0.016,-0.993,-266.700,-70.000,-92.600,0.688,2.938,0.250
