Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
23:06:35:288,0.027,-0.009,-0.989,-264.700,-72.200,-92.900,-0.312,2.812,0.000
23:06:35:467,0.024,-0.017,-0.994,-266.100,-71.400,-94.200,0.250,2.875,0.062
23:06:35:629,0.027,-0.008,-0.991,-265.800,-71.600,-93.200,-0.188,2.500,0.125
23:06:35:815,0.028,-0.012,-0.994,-264.800,-70.400,-91.900,0.000,2.312,0.000
23:06:35:983,0.030,-0.011,-0.991,-264.400,-71.800,-93.400,0.062,3.062,0.062
23:06:36:161,0.028,-0.009,-1.006,-264.200,-72.300,-93.700,0.188,2.500,0.188
23:06:36:329,0.028,-0.012,-0.996,-266.100,-72.600,-91.700,0.312,3.062,0.375
23:06:36:491,0.027,-0.016,-0.994,-264.300,-73.800,-93.200,0.688,2.750,0.250
23:06:36:657,0.027,-0.014,-0.993,-265.300,-72.300,-90.100,-0.500,2.875,0.312
23:06:36:805,0.029,-0.009,-0.990,-265.500,-71.200,-92.800,0.188,2.750,0.250
23:06:36:984,0.028,-0.010,-1.004,-265.600,-71.600,-92.900,-0.250,2.625,0.250
23:06:37:161,0.029,-0.011,-0.996,-266.800,-71.700,-91.700,-0.312,2.438,0.125
23:06:37:315,0.026,-0.013,-0.990,-265.200,-72.500,-93.800,0.000,2.312,0.062
23:06:37:477,0.027,-0.008,-0.998,-264.500,-72.300,-90.800,0.000,2.875,0.125
23:06:37:627,0.029,-0.011,-0.996,-264.100,-70.500,-91.800,0.562,2.375,-0.125
23:06:37:824,0.028,-0.006,-0.989,-265.800,-71.600,-91.800,-0.062,3.125,-0.062
23:06:37:994,0.028,-0.010,-0.991,-265.000,-72.100,-93.500,0.375,3.062,0.188
23:06:38:161,0.024,-0.013,-0.996,-266.400,-73.300,-92.400,-0.062,2.875,0.000
23:06:38:329,0.028,-0.009,-0.998,-265.600,-73.100,-92.500,0.312,3.375,0.188
23:06:38:499,0.025,-0.012,-0.997,-265.800,-71.700,-92.300,-0.188,2.875,-0.062
23:06:38:663,0.027,-0.008,-0.992,-265.500,-70.700,-92.700,0.812,2.562,0.438
23:06:38:843,0.024,-0.013,-0.996,-263.900,-72.100,-93.400,0.500,2.625,0.000
23:06:39:004,0.024,-0.016,-0.994,-265.900,-72.800,-93.000,-0.250,2.500,0.438
23:06:39:157,0.028,-0.015,-1.004,-264.900,-71.000,-93.100,-0.375,2.312,0.000
23:06:39:333,0.019,-0.013,-1.003,-265.400,-72.100,-94.400,0.125,3.125,0.312
23:06:39:501,0.024,-0.003,-0.992,-265.300,-71.600,-93.400,0.250,2.438,0.125
23:06:39:672,0.021,-0.010,-0.990,-263.900,-70.900,-92.200,0.188,2.188,0.125
23:06:39:828,0.026,-0.008,-1.007,-266.000,-71.600,-89.000,0.938,2.438,0.250
23:06:40:000,0.030,-0.012,-1.002,-264.500,-72.400,-93.600,0.000,2.812,0.125
23:06:40:157,0.025,-0.010,-0.991,-265.300,-71.100,-92.600,0.125,3.188,0.188
23:06:40:335,0.026,-0.014,-1.000,-266.500,-72.000,-91.100,-0.438,2.812,0.062
23:06:40:512,0.028,-0.009,-0.996,-266.200,-71.100,-90.300,-0.312,2.500,-0.062
