Time,Ax,Ay,Az,Gx,Gy,Gz
01:48:23:499,0.04050400108098984,-0.0014639999717473984,-0.9964960217475891,0.125,2.0,-0.0625
01:48:23:559,0.04391999915242195,-0.0058559998869895935,-0.9896640181541443,-0.3125,2.6875,0.5
01:48:23:620,0.05660799890756607,-0.016103999689221382,-0.9193919897079468,0.0625,1.5,0.3125
01:48:23:680,0.044895999133586884,0.0058559998869895935,-0.9745360016822815,-0.4375,2.75,0.5
01:48:23:740,0.04391999915242195,-0.004879999905824661,-0.9896640181541443,-0.0625,2.1875,0.375
01:48:23:799,0.04001599922776222,0.004391999915242195,-0.9716079831123352,0.1875,2.1875,0.125
01:48:23:859,0.04391999915242195,0.0004879999905824661,-0.9964960217475891,0.125,1.6875,0.1875
01:48:23:919,0.04391999915242195,-0.00878399983048439,-0.9935680031776428,0.125,2.9375,0.25
01:48:23:982,0.04391999915242195,-0.0029279999434947968,-0.987712025642395,-0.125,2.9375,0.125
01:48:24:042,0.04148000106215477,-0.0009759999811649323,-0.9886879920959473,-0.125,2.1875,-0.375
01:48:24:098,0.045871999114751816,-0.01268799975514412,-0.9964960217475891,-1.0625,1.4375,0.0625
01:48:24:157,0.04391999915242195,0.0024399999529123306,-0.9916160106658936,-0.6875,2.375,0.625
01:48:24:217,0.04391999915242195,-0.0004879999905824661,-0.9896640181541443,0.0,1.5,0.0625
01:48:24:277,0.045871999114751816,0.0004879999905824661,-0.9964960217475891,0.5,2.875,0.5625
01:48:24:337,0.04684799909591675,-0.0004879999905824661,-0.9955199956893921,-0.375,2.0,-0.1875
01:48:24:397,0.040991999208927155,-0.004879999905824661,-0.9955199956893921,-0.3125,3.125,0.125
01:48:24:458,0.039528001099824905,0.0004879999905824661,-0.9955199956893921,0.4375,1.6875,0.25
01:48:24:517,0.04294399917125702,-0.006831999868154526,-0.9955199956893921,1.125,3.0625,-0.0625
01:48:24:577,0.04440800100564957,-0.028303999453783035,-1.012112021446228,0.3125,4.0625,-0.3125
01:48:24:633,0.04196799919009209,0.02537599951028824,-1.0091840028762817,0.3125,2.875,0.375
01:48:24:692,0.0424560010433197,0.0019519999623298645,-0.987712025642395,1.1875,3.375,0.1875
01:48:24:752,0.043432001024484634,0.003903999924659729,-1.026263952255249,-0.1875,3.3125,0.125
01:48:24:812,0.04391999915242195,-0.0009759999811649323,-0.987712025642395,0.25,2.875,0.0625
01:48:24:872,0.04196799919009209,0.0004879999905824661,-0.9916160106658936,-0.4375,2.125,0.25
01:48:24:932,0.044895999133586884,-0.007807999849319458,-0.9964960217475891,0.375,2.75,0.125
01:48:24:992,0.044895999133586884,0.003903999924659729,-1.0003999471664429,-0.1875,2.6875,0.25
01:48:25:052,0.04050400108098984,-0.0029279999434947968,-0.9955199956893921,-0.0625,2.625,0.375
01:48:25:108,0.04733600094914436,-0.0019519999623298645,-0.986735999584198,-0.0625,2.4375,-0.125
01:48:25:166,0.04294399917125702,-0.004879999905824661,-0.9916160106658936,0.6875,2.4375,0.125
01:48:25:227,0.04148000106215477,-0.004879999905824661,-0.9955199956893921,-0.125,2.75,0.125
01:48:25:287,0.0424560010433197,-0.0019519999623298645,-0.9964960217475891,-0.125,2.625,0.0
01:48:25:347,0.03806399926543236,0.0,-0.9925919771194458,0.25,2.625,0.375
01:48:25:407,0.044895999133586884,-0.0004879999905824661,-1.002351999282837,-0.1875,2.625,0.0625
01:48:25:467,0.03903999924659729,-0.004879999905824661,-0.9974719882011414,0.0,2.25,0.1875
01:48:25:527,0.04684799909591675,-0.0058559998869895935,-1.0013760328292847,-0.1875,2.1875,0.125
01:48:25:587,0.04391999915242195,-0.006831999868154526,-0.9886879920959473,0.0625,2.3125,0.125
01:48:25:643,0.044895999133586884,-0.0058559998869895935,-1.0003999471664429,0.5,2.25,0.0625
01:48:25:702,0.043432001024484634,-0.0014639999717473984,-0.9955199956893921,-0.125,2.8125,0.0
01:48:25:762,0.04684799909591675,-0.0029279999434947968,-0.9935680031776428,-0.4375,2.3125,0.1875
01:48:25:822,0.04391999915242195,-0.0024399999529123306,-0.9896640181541443,-0.3125,2.625,0.25
01:48:25:882,0.04391999915242195,-0.0029279999434947968,-1.0003999471664429,0.0625,3.625,0.0625
01:48:25:943,0.03611199930310249,-0.0019519999623298645,-0.9984480142593384,0.1875,2.625,0.25
01:48:26:003,0.044895999133586884,-0.0058559998869895935,-1.002351999282837,0.1875,2.5,0.125
01:48:26:063,0.04928800091147423,-0.0019519999623298645,-1.0013760328292847,0.0625,2.5,0.5
01:48:26:119,0.049775999039411545,-0.004879999905824661,-0.986735999584198,-0.5,2.375,0.4375
01:48:26:178,0.040991999208927155,0.0004879999905824661,-1.0072319507598877,-0.25,2.5625,0.1875
01:48:26:243,0.04001599922776222,-0.003415999934077263,-1.0013760328292847,0.25,2.6875,0.125
01:48:26:298,0.04148000106215477,-0.006831999868154526,-0.9984480142593384,0.4375,3.125,0.125
01:48:26:358,0.03903999924659729,-0.0029279999434947968,-0.985759973526001,-0.3125,3.0,0.375
01:48:26:418,0.048312000930309296,-0.003903999924659729,-1.0003999471664429,0.1875,2.875,0.25
