Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
21:51:56:060,0.024,-0.014,-0.996,-266.100,-73.000,-92.800,-0.688,2.625,-0.125
21:51:57:127,0.025,-0.014,-0.996,-266.000,-72.800,-92.300,0.062,2.750,0.000
21:51:58:194,0.023,-0.013,-0.994,-264.600,-71.600,-93.200,0.125,2.562,0.250
21:51:59:261,0.028,-0.008,-0.988,-266.500,-73.600,-92.800,0.750,3.000,0.062
21:52:00:328,0.021,-0.012,-0.991,-265.600,-71.500,-89.800,0.625,2.375,0.000
21:52:01:395,0.024,-0.011,-0.999,-264.500,-72.700,-91.000,0.250,3.312,0.000
21:52:02:462,0.027,-0.009,-0.995,-265.500,-72.900,-91.300,0.062,2.875,0.062
21:52:03:531,0.024,-0.012,-0.990,-265.200,-70.700,-92.700,-0.438,2.812,0.500
21:52:04:598,0.024,-0.010,-0.992,-265.000,-72.400,-90.800,-0.375,2.500,0.062
