Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
21:17:20:626,0.028,-0.012,-0.996,-266.100,-72.100,-93.500,0.000,2.188,0.125
21:17:20:794,0.028,-0.015,-0.991,-266.500,-72.600,-95.400,0.125,3.125,0.000
21:17:20:950,0.026,-0.018,-0.996,-265.400,-72.700,-91.500,-0.500,2.562,0.125
21:17:21:095,0.026,-0.013,-0.990,-265.100,-72.700,-92.300,0.812,2.938,0.188
21:17:21:256,0.026,-0.011,-0.992,-266.800,-73.100,-92.400,-0.375,3.125,0.312
21:17:21:392,0.028,-0.010,-0.993,-265.600,-72.300,-91.700,0.125,2.688,0.125
21:17:21:539,0.030,-0.011,-0.991,-266.600,-72.700,-92.200,-0.625,2.688,0.125
21:17:21:699,0.024,-0.009,-0.996,-265.300,-72.200,-93.400,0.312,3.000,0.188
21:17:21:823,0.028,-0.011,-0.990,-265.900,-72.400,-93.200,0.000,3.125,0.250
21:17:21:945,0.027,-0.012,-0.991,-265.300,-71.800,-91.500,-0.062,2.812,0.188
21:17:22:128,0.026,-0.009,-0.993,-265.800,-72.200,-90.300,-0.312,3.000,0.188
21:17:22:270,0.024,-0.015,-0.996,-266.300,-72.900,-94.300,0.062,2.438,0.062
21:17:22:425,0.025,-0.014,-0.998,-265.600,-72.300,-94.000,0.062,2.188,-0.312
21:17:22:587,0.028,-0.012,-0.999,-265.200,-72.100,-93.100,-0.125,2.625,0.125
21:17:22:722,0.031,-0.013,-0.996,-265.400,-72.600,-90.500,-0.375,3.062,0.562
21:17:22:871,0.022,-0.015,-0.992,-265.100,-71.300,-91.500,-0.188,2.688,0.250
21:17:23:025,0.031,-0.010,-0.996,-264.800,-73.800,-93.100,-0.562,2.688,-0.125
21:17:23:170,0.023,-0.011,-1.008,-265.900,-74.200,-92.500,0.062,2.500,0.188
21:17:23:324,0.023,-0.008,-0.996,-265.800,-72.900,-91.700,0.125,3.312,0.250
21:17:23:476,0.026,-0.012,-0.994,-266.500,-72.900,-92.000,0.250,2.688,0.000
21:17:23:636,0.026,-0.011,-0.992,-265.900,-73.000,-91.500,0.062,2.375,0.250
21:17:23:780,0.026,-0.012,-0.996,-265.100,-73.000,-90.900,0.438,3.062,0.375
21:17:23:884,0.024,-0.014,-0.992,-264.600,-73.100,-92.000,-0.375,2.312,0.062
21:17:24:069,0.028,-0.009,-1.004,-265.100,-71.200,-92.700,-0.938,2.688,0.188
21:17:24:231,0.028,-0.009,-0.991,-264.500,-72.200,-91.700,-0.500,2.875,0.188
21:17:24:383,0.028,-0.014,-0.987,-265.400,-72.500,-93.300,-0.500,2.938,0.062
21:17:24:506,0.024,-0.017,-0.995,-266.100,-71.700,-93.400,-0.125,2.938,-0.188
21:17:24:668,0.024,-0.009,-0.991,-264.600,-73.500,-94.300,-0.188,2.750,0.062
21:17:24:784,0.026,-0.011,-0.995,-264.100,-71.700,-91.200,0.125,2.875,0.125
21:17:24:903,0.028,-0.010,-0.987,-265.100,-72.000,-93.100,0.438,3.062,0.062
