Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
23:48:58:336,0.027,-0.012,-0.992,-265.100,-72.900,-92.400,-0.125,2.438,0.125
23:48:58:497,0.029,-0.014,-0.997,-265.400,-71.900,-92.000,0.562,2.312,-0.188
23:48:58:658,.026,-0.009,-0.996,-265.000,-72.300,-93.400,0.062,2.938,0.500
23:48:59:040,0.027,-0.012,-1.001,-264.300,-71.200,-92.200,0.062,2.875,-0.062
23:48:59:199,.025,-0.013,-0.993,-264.400,-70.800,-92.200,-0.125,3.000,0.125
23:48:59:373,0.027,-0.013,-0.996,-266.600,-73.100,-92.100,-0.250,3.375,0.062
23:48:59:508,.026,-0.011,-0.992,-267.000,-71.700,-90.800,0.125,2.750,-0.250
23:48:59:701,.020,-0.013,-0.993,-264.300,-72.100,-95.400,0.000,2.625,0.125
23:48:59:874,.026,-0.011,-0.993,-265.000,-72.400,-93.600,0.125,2.625,0.062
23:49:00:185,022,-0.010,-0.996,-266.400,-72.000,-92.100,0.062,2.500,0.125
23:49:00:375,22,-0.011,-0.997,-264.900,-71.400,-93.400,-0.438,2.875,0.125
23:49:00:517,.023,-0.011,-0.991,-265.800,-71.800,-92.500,-0.062,2.562,0.250
23:49:00:713,.029,-0.013,-0.995,-266.200,-73.500,-92.300,0.062,2.438,-0.062
23:49:00:856,.030,-0.010,-0.987,-264.300,-73.000,-92.900,0.062,3.438,0.062
