Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
22:03:09:836,0.030,-0.015,-0.995,-266.100,-71.900,-93.000,-0.750,2.812,0.188
22:03:10:364,0.029,-0.016,-0.992,-265.500,-73.300,-91.300,0.062,2.750,-0.062
22:03:10:931,0.029,-0.015,-0.998,-263.800,-72.300,-92.100,0.062,2.938,0.312
22:03:11:498,0.029,-0.013,-0.989,-264.300,-73.000,-93.000,0.562,2.812,0.312
22:03:12:067,0.025,-0.011,-0.989,-265.100,-72.900,-93.000,-0.375,2.625,-0.062
22:03:12:634,0.025,-0.014,-0.995,-264.700,-71.200,-93.400,0.312,3.125,0.312
22:03:13:201,0.030,-0.011,-0.989,-266.600,-72.800,-89.400,0.062,2.625,0.250
22:03:13:768,0.030,-0.013,-0.997,-265.000,-73.500,-93.500,0.375,2.625,0.125
22:03:14:336,0.028,-0.012,-0.992,-265.000,-72.200,-93.600,-0.062,2.500,0.250
22:03:14:905,0.033,-0.016,-0.996,-265.800,-71.900,-93.400,-0.438,3.188,-0.062
22:03:15:472,0.025,-0.014,-0.989,-265.400,-71.300,-91.900,0.062,2.688,0.125
22:03:16:040,0.030,-0.009,-0.992,-265.200,-73.400,-93.100,-0.250,2.938,0.250
22:03:16:607,0.027,-0.015,-0.997,-265.200,-73.800,-93.900,0.188,2.562,0.688
22:03:17:175,0.030,-0.017,-0.993,-266.400,-73.800,-93.700,-0.250,2.875,0.000
22:03:17:743,0.023,-0.008,-0.992,-265.200,-72.500,-92.600,-0.312,2.688,0.000
22:03:18:310,0.024,-0.007,-1.006,-265.500,-72.500,-91.300,0.062,2.500,0.438
