Time,Ax,Ay,Az,Gx,Gy,Gz
11:30:20:561,0.024399999529123306,0.009759999811649323,-1.002351999282837,0.1875,2.4375,0.25
11:30:20:594,0.02781599946320057,0.014151999726891518,-0.9916160106658936,0.0625,2.9375,0.1875
11:30:20:624,0.021959999576210976,0.016103999689221382,-0.9964960217475891,0.625,1.75,-0.1875
11:30:20:651,0.022447999566793442,0.010735999792814255,-0.9974719882011414,0.25,2.625,0.0
11:30:20:681,0.024399999529123306,0.01268799975514412,-0.9906399846076965,-0.25,2.9375,0.25
11:30:20:711,0.024399999529123306,0.009759999811649323,-0.9896640181541443,-0.25,2.25,0.0625
11:30:20:741,0.024399999529123306,0.00634399987757206,-0.9896640181541443,0.625,2.6875,0.125
11:30:20:771,0.023423999547958374,0.01268799975514412,-0.9974719882011414,0.3125,2.375,0.25
11:30:20:802,0.02537599951028824,0.01268799975514412,-1.0003999471664429,0.3125,2.5,0.125
11:30:20:832,0.020983999595046043,0.013663999736309052,-0.9974719882011414,0.5625,3.3125,0.25
11:30:20:862,0.02000799961388111,0.011711999773979187,-0.9925919771194458,0.1875,2.875,0.0625
11:30:20:892,0.02537599951028824,0.011711999773979187,-0.9994239807128906,-0.25,2.75,-0.0625
11:30:20:922,0.02781599946320057,0.00878399983048439,-0.9964960217475891,0.1875,2.8125,0.1875
11:30:20:952,0.022447999566793442,0.010735999792814255,-0.9935680031776428,0.0625,2.9375,0.375
11:30:20:982,0.025863999500870705,0.011711999773979187,-1.0062559843063354,-0.125,2.8125,0.0
11:30:21:012,0.025863999500870705,0.013663999736309052,-0.9925919771194458,0.25,2.25,0.1875
11:30:21:042,0.021959999576210976,0.011711999773979187,-0.9925919771194458,0.3125,2.6875,0.125
11:30:21:073,0.02000799961388111,0.007807999849319458,-0.9896640181541443,0.1875,2.6875,0.1875
11:30:21:103,0.023423999547958374,0.011711999773979187,-0.9916160106658936,0.4375,2.4375,0.25
11:30:21:135,0.023423999547958374,0.01268799975514412,-0.9955199956893921,0.5625,3.125,0.3125
11:30:21:163,0.021959999576210976,0.01268799975514412,-0.9945440292358398,0.3125,2.8125,-0.0625
11:30:21:193,0.020495999604463577,0.010735999792814255,-0.9925919771194458,0.5,2.5,0.1875
11:30:21:223,0.02537599951028824,0.010735999792814255,-0.9945440292358398,-0.0625,2.625,0.1875
11:30:21:253,0.022447999566793442,0.01268799975514412,-1.0003999471664429,0.4375,2.9375,-0.125
11:30:21:283,0.023423999547958374,0.01268799975514412,-1.0003999471664429,0.25,2.8125,0.0625
11:30:21:313,0.020983999595046043,0.015615999698638916,-0.9964960217475891,0.625,3.125,0.0
11:30:21:346,0.023423999547958374,0.014639999717473984,-0.9974719882011414,0.25,3.0,0.125
11:30:21:374,0.020495999604463577,0.0058559998869895935,-0.9916160106658936,0.0625,2.9375,0.0
11:30:21:404,0.02391199953854084,0.010735999792814255,-1.0013760328292847,0.0,2.5,0.0
11:30:21:434,0.02635199949145317,0.015615999698638916,-0.9974719882011414,0.0625,2.75,0.25
11:30:21:464,0.01659199967980385,0.007807999849319458,-0.9964960217475891,0.5625,3.0625,0.125
11:30:21:494,0.023423999547958374,0.007807999849319458,-0.9935680031776428,0.0625,2.4375,0.5
11:30:21:524,0.01756799966096878,0.013663999736309052,-0.9994239807128906,0.0,2.75,0.125
11:30:21:554,0.02635199949145317,0.011711999773979187,-0.9945440292358398,0.5,3.1875,0.125
11:30:21:586,0.023423999547958374,0.015615999698638916,-0.9925919771194458,0.3125,2.5625,0.3125
11:30:21:614,0.02391199953854084,0.013663999736309052,-0.9906399846076965,0.0,3.1875,0.3125
11:30:21:645,0.024399999529123306,0.01756799966096878,-0.9964960217475891,0.6875,2.5625,0.0
11:30:21:675,0.018543999642133713,0.010735999792814255,-0.9945440292358398,0.0,2.75,-0.0625
11:30:21:705,0.027327999472618103,0.011711999773979187,-0.987712025642395,-0.1875,2.5625,0.3125
11:30:21:735,0.02635199949145317,0.010735999792814255,-0.9945440292358398,-0.0625,2.875,-0.125
11:30:21:765,0.02391199953854084,0.007807999849319458,-0.9935680031776428,0.5,2.875,0.0
11:30:21:796,0.019519999623298645,0.00878399983048439,-0.9945440292358398,0.0625,2.5,0.25
11:30:21:827,0.02000799961388111,0.014639999717473984,-0.9935680031776428,0.5,2.9375,0.0
11:30:21:855,0.020983999595046043,0.013663999736309052,-0.9886879920959473,0.3125,2.9375,0.125
11:30:21:885,0.022447999566793442,0.014639999717473984,-0.9935680031776428,-0.25,2.5625,0.0
11:30:21:915,0.02000799961388111,0.014639999717473984,-0.9886879920959473,0.375,2.6875,-0.0625
11:30:21:946,0.02537599951028824,0.014639999717473984,-0.9906399846076965,0.3125,2.6875,0.0
11:30:21:976,0.0287919994443655,0.014639999717473984,-0.9916160106658936,0.3125,2.0,-0.0625
11:30:22:006,0.023423999547958374,0.01659199967980385,-0.9916160106658936,0.25,2.75,0.125
11:30:22:036,0.022935999557375908,0.018055999651551247,-0.9935680031776428,0.0625,2.375,0.1875
11:30:22:066,0.021959999576210976,0.015615999698638916,-1.0013760328292847,0.0625,3.4375,0.0
11:30:22:096,0.026839999482035637,0.0058559998869895935,-0.9896640181541443,-0.25,2.6875,0.1875
11:30:22:126,0.02781599946320057,0.014639999717473984,-0.9974719882011414,0.4375,2.625,0.125
11:30:22:156,0.02000799961388111,0.011711999773979187,-0.9925919771194458,0.125,2.625,0.3125
11:30:22:186,0.026839999482035637,0.011711999773979187,-0.9964960217475891,-0.375,2.375,0.3125
11:30:22:220,0.021959999576210976,0.01268799975514412,-0.9945440292358398,-0.25,3.0,-0.25
11:30:22:247,0.024399999529123306,0.0058559998869895935,-0.9945440292358398,-0.0625,2.875,0.0
11:30:22:277,0.023423999547958374,0.011711999773979187,-0.9935680031776428,-0.125,2.9375,0.1875
11:30:22:307,0.019519999623298645,0.010735999792814255,-0.9974719882011414,0.375,2.6875,0.3125
11:30:22:337,0.021959999576210976,0.01268799975514412,-0.9955199956893921,0.125,2.4375,-0.125
11:30:22:367,0.024399999529123306,0.01268799975514412,-0.9925919771194458,0.1875,2.5625,0.375
11:30:22:397,0.023423999547958374,0.014639999717473984,-0.9833199977874756,0.25,2.625,0.25
11:30:22:427,0.021959999576210976,0.011711999773979187,-0.985759973526001,0.25,2.9375,0.0625
11:30:22:457,0.023423999547958374,0.017079999670386314,-0.986735999584198,0.3125,2.8125,0.1875
11:30:22:487,0.023423999547958374,0.015615999698638916,-0.9896640181541443,-0.1875,2.625,0.125
11:30:22:518,0.02537599951028824,0.011711999773979187,-0.9906399846076965,0.0625,2.375,0.4375
11:30:22:548,0.026839999482035637,0.013663999736309052,-1.010159969329834,0.1875,2.5625,0.25
11:30:22:578,0.02147199958562851,0.013663999736309052,-1.0052800178527832,0.3125,2.625,0.4375
