Time,Ax,Ay,Az,Gx,Gy,Gz
11:03:54:822,0.02000799961388111,0.011711999773979187,-0.9984480142593384,1.0625,3.125,0.25
11:03:54:871,0.024399999529123306,0.009759999811649323,-0.9906399846076965,0.0,3.1875,0.375
11:03:54:926,0.024399999529123306,0.01268799975514412,-0.9945440292358398,-0.5625,2.25,-0.0625
11:03:54:976,0.02000799961388111,0.013663999736309052,-0.9896640181541443,0.25,2.625,0.0625
11:03:55:026,0.02537599951028824,0.015615999698638916,-0.9925919771194458,0.4375,2.5,-0.0625
11:03:55:071,0.024399999529123306,0.014639999717473984,-0.9945440292358398,-0.6875,2.6875,0.1875
11:03:55:121,0.02781599946320057,0.01268799975514412,-0.9964960217475891,0.5,3.0,0.0
11:03:55:171,0.020495999604463577,0.011711999773979187,-0.987712025642395,1.0625,2.6875,0.3125
11:03:55:221,0.02000799961388111,0.01268799975514412,-0.9935680031776428,0.4375,3.0,0.1875
11:03:55:271,0.021959999576210976,0.007807999849319458,-0.9906399846076965,0.1875,3.125,0.125
11:03:55:321,0.017079999670386314,0.010735999792814255,-0.9974719882011414,0.0625,2.5625,0.25
11:03:55:376,0.02537599951028824,0.01268799975514412,-0.987712025642395,-0.125,2.4375,0.0625
11:03:55:426,0.02000799961388111,0.009759999811649323,-0.985759973526001,2.125,2.9375,0.0
11:03:55:471,0.027327999472618103,0.015615999698638916,-0.9916160106658936,-0.1875,2.875,0.0
11:03:55:526,0.020983999595046043,0.015615999698638916,-0.9847840070724487,0.4375,2.9375,0.0
11:03:55:571,0.02000799961388111,0.01268799975514412,-0.9984480142593384,0.6875,2.6875,-0.0625
11:03:55:621,0.026839999482035637,0.01268799975514412,-0.9906399846076965,0.1875,3.0,0.3125
11:03:55:676,0.027327999472618103,0.011711999773979187,-0.9955199956893921,-0.25,2.8125,0.4375
11:03:55:721,0.027327999472618103,0.01268799975514412,-0.9906399846076965,1.5,3.25,0.1875
11:03:55:771,0.022935999557375908,0.01268799975514412,-0.987712025642395,1.0,3.0,-0.0625
11:03:55:821,0.020983999595046043,0.010735999792814255,-0.9955199956893921,0.9375,3.625,-0.125
11:03:55:872,0.024399999529123306,0.010735999792814255,-0.9925919771194458,0.5,2.9375,-0.1875
11:03:55:922,0.02537599951028824,0.01756799966096878,-0.9964960217475891,-0.875,2.4375,0.125
11:03:55:979,0.022935999557375908,0.009759999811649323,-0.9935680031776428,-0.9375,2.625,0.0
11:03:56:024,0.021959999576210976,0.014639999717473984,-0.9886879920959473,0.8125,2.8125,-0.0625
11:03:56:071,0.023423999547958374,0.014639999717473984,-0.9945440292358398,-0.4375,2.1875,0.0625
11:03:56:121,0.023423999547958374,0.010735999792814255,-0.9994239807128906,-0.4375,2.8125,0.1875
11:03:56:173,0.024887999519705772,0.011711999773979187,-0.9906399846076965,0.3125,2.9375,0.1875
11:03:56:221,0.021959999576210976,0.01268799975514412,-0.9935680031776428,-0.375,2.75,-0.25
11:03:56:271,0.02537599951028824,0.011711999773979187,-0.987712025642395,0.75,2.875,0.125
11:03:56:321,0.020983999595046043,0.010735999792814255,-0.9906399846076965,-1.6875,1.875,0.0
11:03:56:376,0.02537599951028824,0.010735999792814255,-0.9916160106658936,0.625,2.4375,0.5
11:03:56:421,0.024399999529123306,0.009759999811649323,-0.9906399846076965,1.0,3.0625,0.0625
11:03:56:477,0.020495999604463577,0.011711999773979187,-0.987712025642395,-0.4375,2.625,0.125
11:03:56:521,0.02000799961388111,0.010735999792814255,-1.0003999471664429,0.1875,3.0625,0.0625
11:03:56:576,0.024887999519705772,0.015615999698638916,-0.9896640181541443,-0.8125,2.875,0.25
11:03:56:626,0.024887999519705772,0.0058559998869895935,-1.002351999282837,1.0625,2.4375,0.0625
11:03:56:671,0.020983999595046043,0.00878399983048439,-0.9925919771194458,-0.5,2.5625,0.25
11:03:56:726,0.022447999566793442,0.009759999811649323,-0.9896640181541443,0.8125,2.75,0.1875
11:03:56:771,0.023423999547958374,0.00878399983048439,-0.9974719882011414,0.1875,3.0,0.125
11:03:56:826,0.020983999595046043,0.0058559998869895935,-0.9974719882011414,0.1875,2.1875,0.1875
11:03:56:876,0.022935999557375908,0.015615999698638916,-0.9974719882011414,0.375,2.5,-0.125
11:03:56:936,0.02635199949145317,0.011711999773979187,-0.9974719882011414,-0.1875,2.75,0.625
11:03:56:974,0.024887999519705772,0.011711999773979187,-0.9906399846076965,-0.625,2.1875,0.375
11:03:57:021,0.02147199958562851,0.00878399983048439,-1.004304051399231,1.0625,3.125,0.25
11:03:57:086,0.02000799961388111,0.01268799975514412,-0.9925919771194458,0.5,2.625,0.3125
11:03:57:121,0.022447999566793442,0.013663999736309052,-0.9896640181541443,-0.6875,2.75,0.0
11:03:57:172,0.022447999566793442,0.010735999792814255,-0.9935680031776428,0.375,3.0,0.125
11:03:57:221,0.020983999595046043,0.013663999736309052,-1.0003999471664429,-0.25,2.9375,-0.25
11:03:57:271,0.023423999547958374,0.009759999811649323,-0.9994239807128906,0.4375,3.0,0.125
11:03:57:323,0.020983999595046043,0.01268799975514412,-0.9984480142593384,1.3125,2.125,-0.0625
11:03:57:371,0.020983999595046043,0.011711999773979187,-0.9955199956893921,-0.9375,3.25,-0.125
11:03:57:421,0.020983999595046043,0.013663999736309052,-0.9964960217475891,0.1875,2.625,0.125
11:03:57:477,0.021959999576210976,0.01268799975514412,-0.9974719882011414,0.3125,2.8125,0.25
11:03:57:522,0.021959999576210976,0.013663999736309052,-0.9896640181541443,-1.375,2.0625,0.0625
11:03:57:571,0.024399999529123306,0.009759999811649323,-0.9925919771194458,0.1875,2.875,0.125
11:03:57:623,0.023423999547958374,0.007807999849319458,-0.9984480142593384,-0.5,2.4375,0.25
11:03:57:671,0.024399999529123306,0.011711999773979187,-0.9945440292358398,-0.625,2.3125,0.0
11:03:57:721,0.020983999595046043,0.011711999773979187,-0.9906399846076965,0.5625,3.1875,0.0
11:03:57:773,0.026839999482035637,0.010735999792814255,-0.9964960217475891,-0.125,2.8125,0.1875
11:03:57:822,0.025863999500870705,0.011711999773979187,-0.9925919771194458,0.0625,2.3125,0.1875
