Time,Ax,Ay,Az,Gx,Gy,Gz
02:06:03:908,0.09516000002622604,0.021959999576210976,-0.9862480163574219,-10.3125,9.25,-3.9375
02:06:03:968,0.08881600201129913,0.014639999717473984,-0.9906399846076965,-3.125,4.125,0.0625
02:06:04:027,0.08979199826717377,0.013663999736309052,-1.0062559843063354,-1.625,4.375,2.4375
02:06:04:087,0.07124800235033035,0.007807999849319458,-1.0296800136566162,-5.25,3.9375,-0.625
02:06:04:148,0.09174399822950363,0.0024399999529123306,-1.0150400400161743,-4.4375,2.125,0.3125
02:06:04:207,0.10150399804115295,0.02000799961388111,-1.0013760328292847,0.0,3.75,-1.8125
02:06:04:267,0.11028800159692764,0.018055999651551247,-0.9545279741287231,-2.375,8.0625,4.8125
02:06:04:323,0.10443200170993805,-0.029767999425530434,-1.0072319507598877,3.5,10.0625,4.9375
02:06:04:383,0.0878399983048439,-0.07661599665880203,-0.9154880046844482,7.375,15.1875,-2.5
02:06:04:443,0.08442399650812149,-0.06734400242567062,-0.9374480247497559,48.375,-12.0625,-15.0
02:06:04:503,0.056120000779628754,-0.004879999905824661,-1.034559965133667,-1.8125,-16.8125,-6.0
02:06:04:563,0.08930400013923645,0.007807999849319458,-1.028704047203064,-34.75,-11.0,-9.0
02:06:04:623,0.08247199654579163,-0.02635199949145317,-1.0394400358200073,-6.0,3.9375,-1.375
02:06:04:682,0.07515200227499008,-0.031231999397277832,-1.002351999282837,-6.0625,-1.25,-10.875
02:06:04:743,0.11858399957418442,0.0058559998869895935,-0.9701439738273621,13.375,17.5,18.875
02:06:04:798,0.08393599838018417,-0.0058559998869895935,-1.0013760328292847,1.125,3.8125,-1.4375
02:06:04:859,0.09174399822950363,-0.011711999773979187,-0.9916160106658936,-2.6875,7.75,9.4375
02:06:04:918,0.09711199998855591,-0.09857600182294846,-0.986735999584198,1.375,8.125,6.4375
02:06:04:979,0.12248799949884415,0.053679998964071274,-0.9701439738273621,4.8125,6.3125,-11.5
02:06:05:038,0.12004800140857697,0.010735999792814255,-0.9516000151634216,-7.0,7.9375,11.0625
02:06:05:098,0.11419200152158737,-0.02537599951028824,-1.0033279657363892,3.6875,3.0625,2.125
02:06:05:158,0.11467999964952469,-0.039528001099824905,-0.9916160106658936,3.3125,2.6875,5.6875
02:06:05:218,0.10833600163459778,-0.0424560010433197,-1.0179680585861206,-6.375,3.8125,2.6875
02:06:05:281,0.1088239997625351,0.0024399999529123306,-0.985759973526001,-10.4375,3.4375,-10.0625
02:06:05:341,0.1361519992351532,0.04391999915242195,-0.9720960259437561,0.375,4.9375,-5.125
02:06:05:401,0.1268800050020218,-0.02000799961388111,-0.986735999584198,-7.625,13.875,14.5
02:06:05:461,0.14737600088119507,-0.05563199892640114,-0.9574559926986694,2.9375,4.3125,-2.9375
02:06:05:520,0.1424960047006607,0.053679998964071274,-0.9720960259437561,-5.25,3.6875,-1.3125
02:06:05:581,0.1571359932422638,0.04050400108098984,-0.8593680262565613,-52.9375,8.875,5.5
02:06:05:641,0.1327359974384308,0.14932799339294434,-0.7583519816398621,-88.1875,17.25,11.5
02:06:05:701,0.16396799683570862,0.49190399050712585,-0.912559986114502,-137.3125,7.75,9.25
02:06:05:761,0.07124800235033035,0.6187840104103088,-0.962336003780365,-196.375,-3.1875,5.5625
02:06:05:816,0.18251200020313263,0.5743759870529175,-0.8764479756355286,-82.3125,4.3125,-13.25
02:06:05:879,0.20447200536727905,0.6261039972305298,-0.7266319990158081,-38.125,7.4375,6.1875
02:06:05:939,0.14883999526500702,0.6168320178985596,-0.7368800044059753,-23.1875,12.375,2.75
02:06:05:999,0.14395999908447266,0.6309840083122253,-0.716871976852417,-14.4375,0.25,2.0625
02:06:06:059,0.18299999833106995,0.6226879954338074,-0.700767993927002,-5.3125,13.6875,-4.3125
02:06:06:119,0.15176799893379211,0.6636800169944763,-0.7466400265693665,-15.5625,5.125,-3.9375
02:06:06:179,0.14005599915981293,0.6695359945297241,-0.7183359861373901,-17.3125,1.625,0.0
02:06:06:238,0.1327359974384308,0.7046719789505005,-0.7456640005111694,-11.375,3.8125,-3.4375
02:06:06:299,0.16103999316692352,0.7002800107002258,-0.7080879807472229,-14.4375,-1.9375,-6.625
02:06:06:358,0.1273680031299591,0.643671989440918,-0.6509919762611389,-20.0625,5.875,-8.875
02:06:06:419,0.13176000118255615,0.6939359903335571,-0.66075199842453,-4.1875,-3.3125,-5.9375
02:06:06:479,0.11760800331830978,0.7066239714622498,-0.6939359903335571,-7.0,-5.1875,-4.4375
02:06:06:538,0.12346400320529938,0.7075999975204468,-0.7295600175857544,-0.8125,1.875,-0.375
02:06:06:598,0.08344800025224686,0.7193120121955872,-0.7969040274620056,10.5625,5.5625,3.25
02:06:06:658,0.18690399825572968,0.6900320053100586,-0.9886879920959473,97.0625,10.0625,-4.25
02:06:06:718,0.01659199967980385,0.5021520256996155,-0.8364319801330566,145.625,-12.75,-9.875
02:06:06:780,0.25034400820732117,0.08637599647045135,-0.6178079843521118,296.75,-10.125,-19.6875
02:06:06:840,0.057096000760793686,-0.12443999946117401,-0.8208159804344177,204.8125,-5.25,-2.125
02:06:06:895,0.04928800091147423,-0.0058559998869895935,-1.0296800136566162,26.1875,-34.0,12.25
02:06:06:955,0.006831999868154526,-0.024399999529123306,-1.1194720268249512,-18.0,-29.5625,-6.875
02:06:07:015,0.04148000106215477,-0.11224000155925751,-0.9525759816169739,13.375,-10.8125,-1.8125
