Time,Ax,Ay,Az,Gx,Gy,Gz
20:56:12:513,0.012199999764561653,0.0014639999717473984,-0.986735999584198,0.0,2.8125,0.4375
20:56:12:583,-0.14103199541568756,-0.06392800062894821,-0.8515599966049194,-0.6875,4.5625,-3.3125
20:56:12:674,0.03269600123167038,0.10150399804115295,-0.9906399846076965,1.25,3.125,3.25
20:56:12:763,0.01756799966096878,0.00878399983048439,-0.9984480142593384,0.5,3.1875,0.125
20:56:12:825,0.01268799975514412,0.01268799975514412,-0.9906399846076965,0.3125,2.75,0.3125
20:56:12:885,0.01903199963271618,0.009759999811649323,-0.9916160106658936,0.125,2.8125,0.0
20:56:12:945,0.017079999670386314,0.010735999792814255,-0.9925919771194458,1.0625,2.3125,0.0625
20:56:13:018,0.01659199967980385,0.010735999792814255,-0.9955199956893921,5.739718509874451e-39,5.890386120758655e-39,1.4757395258967641e+20
20:56:13:125,0.013175999745726585,0.0058559998869895935,-0.9955199956893921,0.375,2.9375,0.0625
20:56:13:245,0.018543999642133713,0.01268799975514412,-0.9964960217475891,0.125,2.875,-0.0625
20:56:13:301,0.018543999642133713,0.003903999924659729,-0.9984480142593384,0.25,2.4375,-0.125
20:56:13:360,0.019519999623298645,0.013663999736309052,-0.9964960217475891,0.6875,3.0,0.25
20:56:13:420,0.02000799961388111,0.007807999849319458,-0.9925919771194458,0.125,2.875,0.375
20:56:13:480,0.017079999670386314,0.009759999811649323,-0.9955199956893921,0.5,2.75,0.4375
20:56:13:540,0.019519999623298645,0.0058559998869895935,-0.9964960217475891,0.1875,2.75,0.3125
20:56:13:600,0.016103999689221382,0.011711999773979187,-0.9935680031776428,-0.125,2.125,-0.0625
20:56:13:660,0.01512799970805645,0.013663999736309052,-1.004304051399231,-0.1875,2.8125,0.5
20:56:13:720,-0.04148000106215477,0.11760800331830978,-0.864736020565033,8.9375,-2.875,-36.9375
20:56:13:781,0.07807999849319458,0.05270399898290634,-1.281000018119812,14.1875,1.4375,-22.875
20:56:13:841,0.05172799900174141,0.0058559998869895935,-1.036512017250061,34.4375,27.75,-0.0625
20:56:13:901,0.1029679998755455,-0.04782399907708168,-0.986735999584198,-35.5,40.6875,-34.875
20:56:13:961,0.1849520057439804,-0.04391999915242195,-0.8862079977989197,4.5,32.5625,-15.25
20:56:14:021,0.10735999792814255,-0.01268799975514412,-0.8935279846191406,9.8125,-4.4375,16.8125
20:56:14:094,0.06880799680948257,-0.003903999924659729,-0.9945440292358398,1.780532428244428e-38,1.7739676251987591e-38,4.462526798768877e+20
20:56:14:214,-0.03806399926543236,0.13078400492668152,-1.0789680480957031,-4.6875,24.5,2.2020800737990777e+20
Time,Ax,Ay,Az,Gx,Gy,Gz
