Time,Ax,Ay,Az,A_rms,Mx,My,Mz,M_rms
11:11:25:984,"['0.02', '-0.02', '-0.99', '0.57', '-252.10', '-80.90', '-91.90', '161.81']"
11:11:26:532,"['0.02', '-0.02', '-1.00', '0.58', '-252.60', '-80.80', '-91.80', '162.03']"
11:11:27:086,"['0.02', '-0.02', '-1.00', '0.58', '-251.80', '-80.00', '-92.30', '161.58']"
11:11:27:640,"['0.02', '-0.02', '-0.99', '0.57', '-252.20', '-82.10', '-91.00', '161.89']"
11:11:28:195,"['0.02', '-0.02', '-1.00', '0.58', '-252.80', '-80.10', '-91.50', '161.96']"
