Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
22:05:12:988,0.028,-0.013,-0.983,-265.000,-71.900,-92.900,0.000,2.938,0.000
22:05:13:581,0.029,-0.010,-1.002,-266.100,-72.500,-92.300,-0.188,2.375,0.438
22:05:14:120,0.026,-0.008,-0.988,-263.400,-71.600,-93.900,0.062,2.938,0.125
22:05:14:678,0.028,-0.012,-0.993,-267.200,-72.000,-91.600,-0.562,2.688,-0.062
22:05:15:244,0.025,-0.012,-0.995,-265.700,-72.500,-90.500,0.688,2.938,0.312
22:05:15:813,0.025,-0.017,-0.996,-265.300,-71.600,-93.300,-0.062,2.125,0.125
22:05:16:381,0.029,-0.012,-0.992,-266.600,-72.800,-92.100,0.750,2.875,-0.062
22:05:16:948,0.030,-0.011,-0.990,-266.100,-71.000,-94.000,0.188,2.812,0.062
22:05:17:516,0.029,-0.017,-0.994,-265.100,-73.200,-89.600,-0.438,2.625,0.312
22:05:18:084,0.025,-0.006,-0.992,-265.700,-73.500,-93.900,-0.125,2.875,0.250
22:05:18:651,0.025,-0.012,-0.991,-264.300,-70.900,-91.100,0.062,2.625,0.125
22:05:19:218,0.029,-0.013,-1.001,-266.300,-71.600,-91.700,0.062,2.812,0.000
