Time,Ax,Ay,Az,Gx,Gy,Gz
18:56:48:284,0.12443999946117401,-0.00634399987757206,-1.004304051399231,0.25,3.0,0.125
18:56:48:375,-0.25619998574256897,0.1327359974384308,-0.538752019405365,1.3125,0.625,3.625
18:56:48:448,0.1424960047006607,0.02537599951028824,-1.0882400274276733,-0.375,3.5,0.625
18:56:48:508,0.12883199751377106,-0.022447999566793442,-0.9335439801216125,0.1875,2.8125,-0.0625
18:56:48:568,0.13078400492668152,-0.013663999736309052,-0.986735999584198,-0.375,2.5625,0.25
18:56:48:628,0.13127200305461884,-0.018055999651551247,-0.987712025642395,-0.0625,2.5625,-0.125
18:56:48:688,0.1361519992351532,-0.020495999604463577,-0.9760000109672546,0.1875,2.5,0.125
18:56:48:748,0.1327359974384308,-0.01268799975514412,-0.9813680052757263,-0.1875,2.375,0.1875
18:56:48:808,0.1332239955663681,-0.011711999773979187,-0.985759973526001,0.3125,2.5,0.0
18:56:48:868,0.13712799549102783,-0.020495999604463577,-0.986735999584198,-0.1875,2.4375,0.125
18:56:48:928,0.13224799931049347,-0.013663999736309052,-0.9823439717292786,0.3125,2.8125,0.3125
18:56:48:988,0.1302960067987442,-0.021959999576210976,-0.9813680052757263,0.5,3.1875,0.1875
18:56:49:048,0.1298079937696457,-0.015615999698638916,-0.9847840070724487,0.25,2.875,0.375
18:56:49:108,0.1361519992351532,-0.02147199958562851,-0.986735999584198,0.25,2.9375,-0.25
18:56:49:168,0.13810400664806366,-0.010735999792814255,-0.979416012763977,1.0,3.0,0.0625
18:56:49:228,0.13468800485134125,-0.018055999651551247,-0.9750239849090576,0.5625,3.125,0.25
18:56:49:288,0.13517600297927856,-0.02000799961388111,-0.986735999584198,0.0,2.625,0.4375
18:56:49:348,0.13712799549102783,-0.013663999736309052,-0.9774640202522278,0.5625,2.5,0.25
18:56:49:408,0.13224799931049347,-0.01903199963271618,-0.985759973526001,0.0625,2.5,0.0625
18:56:49:471,0.13761599361896515,-0.020495999604463577,-0.985759973526001,0.0,2.75,0.0625
18:56:49:531,0.13127200305461884,-0.015615999698638916,-0.9896640181541443,0.375,2.625,0.25
18:56:49:591,0.13712799549102783,-0.014639999717473984,-0.9886879920959473,0.0625,2.5625,0.1875
18:56:49:651,0.1327359974384308,-0.01268799975514412,-0.986735999584198,0.125,2.4375,0.25
18:56:49:711,0.13371199369430542,-0.01268799975514412,-0.9813680052757263,0.0,2.8125,0.125
18:56:49:771,0.1390800029039383,-0.014639999717473984,-0.9803919792175293,-0.1875,2.5,0.3125
18:56:49:831,0.1332239955663681,-0.01659199967980385,-0.9803919792175293,0.25,2.6875,0.25
18:56:49:891,0.13127200305461884,-0.015615999698638916,-0.9803919792175293,0.0625,2.6875,0.4375
18:56:49:947,0.1327359974384308,-0.018055999651551247,-0.9823439717292786,0.5,3.25,0.0625
18:56:53:011,0.14054399728775024,-0.03855200111865997,-0.87254399061203,0.3125,1.9375,-0.5
18:56:53:071,0.13517600297927856,-0.017079999670386314,-0.9872239828109741,-0.1875,2.75,0.375
18:56:53:131,0.1361519992351532,-0.014639999717473984,-0.9906399846076965,0.0625,2.625,0.1875
18:56:53:191,0.1302960067987442,-0.01512799970805645,-0.9691680073738098,0.6875,2.875,-0.1875
18:56:53:251,0.13224799931049347,-0.014639999717473984,-0.9803919792175293,0.0625,2.6875,0.25
18:56:53:311,0.13371199369430542,-0.013663999736309052,-0.9803919792175293,0.3125,3.0625,0.375
18:56:53:371,0.13517600297927856,-0.011711999773979187,-0.9847840070724487,0.625,2.9375,0.1875
18:56:53:431,0.13371199369430542,-0.014639999717473984,-0.9847840070724487,0.1875,2.5625,0.3125
18:56:53:492,0.13371199369430542,-0.01903199963271618,-0.9838079810142517,0.1875,2.375,0.5
