Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
23:34:53:919,0.025,-0.009,-0.998,-264.300,-72.800,-94.000,-0.375,2.688,0.0
23:34:54:083,62,0.031,-0.006,-0.996,-265.500,-72.900,-92.400,-0.062,2.562
23:34:54:248,0.125,0.023,-0.012,-0.990,-265.500,-72.400,-92.800,0.062,2.
23:34:54:413,438,0.188,0.028,-0.011,-0.993,-265.100,-72.700,-92.200,-0.31
23:34:54:578,2,2.438,0.250,0.026,-0.012,-0.994,-264.900,-71.800,-91.300
23:34:54:743,0.125,2.938,-0.062,0.024,-0.010,-0.997,-266.600,-73.400,-93.
23:34:54:907,000,0.000,3.188,0.188,0.025,-0.009,-0.997,-265.600,-71.400
23:34:55:072,92.100,-0.312,2.625,0.250,0.023,-0.011,-0.992,-264.700,-73.1
23:34:55:237,00,-94.400,-0.062,3.188,0.062,0.028,-0.013,-0.997,-263.100
23:34:55:402,71.900,-93.500,-0.062,2.500,0.000,0.027,-0.013,-0.992,-263.7
23:34:55:567,00,-72.600,-90.300,0.188,2.562,0.000,0.023,-0.011,-0.990
23:34:55:732,5.200,-72.700,-91.700,-0.125,2.500,0.188,0.027,-0.014,-0.996
23:34:55:896,-264.500,-72.100,-93.200,-0.188,2.562,0.188,0.028,-0.006,-0
23:34:56:061,.993,-266.300,-73.100,-92.500,-0.438,2.625,0.188,0.030,-0.01
23:34:56:226,0,-0.997,-265.300,-73.000,-91.000,0.125,3.000,0.188,0.030
23:34:56:391,.008,-0.992,-265.000,-72.200,-91.600,0.562,2.438,-0.375,0.02
23:34:56:556,8,-0.013,-0.998,-265.300,-72.500,-92.800,0.000,2.688,0.250
23:34:56:621,.023,-0.010,-0.996,-265.700,-71.300,-93.400,0.000,2.375,0.375
23:34:56:785,0.025,-0.013,-0.997,-265.100,-71.200,-91.000,-0.312,2.875,-0
23:34:56:950,.188,0.028,-0.014,-0.990,-264.900,-72.100,-90.000,0.188,2.93
23:34:57:115,8,0.062,0.024,-0.008,-0.988,-266.100,-72.000,-92.900,-0.312
23:34:57:281,2.438,0.062,0.024,-0.010,-0.996,-264.400,-72.500,-94.400,0.1
23:34:57:446,25,2.562,0.438,0.029,-0.015,-0.990,-264.100,-71.800,-92.200
23:34:57:610,0.188,2.625,0.062,0.029,-0.006,-0.998,-265.200,-72.100,-93.3
23:34:57:774,00,1.000,2.625,0.375,0.029,-0.009,-0.989,-265.800,-72.700
23:34:57:939,2.400,0.062,2.625,0.125,0.026,-0.013,-0.990,-264.200,-71.800
23:34:58:106,-89.800,0.125,2.625,0.188,0.027,-0.014,-0.991,-264.500,-70.
23:34:58:270,400,-92.500,0.188,3.062,0.188,0.032,-0.012,-0.997,-264.300
23:34:58:434,72.500,-93.300,0.062,2.625,0.125,0.025,-0.013,-1.001,-264.10
23:34:58:599,0,-71.700,-93.900,-0.188,2.562,0.062,0.027,-0.008,-0.995
23:34:58:764,4.400,-71.600,-94.600,0.438,2.688,0.500,0.027,-0.010,-0.995
23:34:58:929,-264.200,-72.600,-91.700,0.062,2.750,0.188,0.023,-0.013,-0.9
23:34:59:093,96,-265.000,-71.200,-94.000,0.125,2.625,-0.062,0.024,-0.013
23:34:59:258,-0.988,-265.800,-73.100,-93.500,0.000,2.938,0.000,0.024,-0.0
23:34:59:423,07,-0.988,-266.300,-72.800,-93.800,0.062,2.812,0.188,0.023
23:34:59:588,0.013,-0.993,-264.200,-72.200,-93.800,0.438,2.812,0.125,0.03
23:34:59:655,0,-0.007,-0.994,-264.200,-72.700,-92.500,-0.125,2.938,0.500
23:34:59:817,0.025,-0.013,-0.993,-265.700,-73.500,-92.100,0.125,2.500,0.188
23:34:59:982,0.028,-0.007,-0.996,-263.300,-73.400,-93.500,0.062,2.438,0.
23:35:00:148,250,0.027,-0.011,-0.994,-265.000,-71.700,-93.400,0.188,2.625
23:35:00:312,0.250,0.025,-0.017,-0.994,-265.600,-73.200,-92.400,0.000,3.
23:35:00:477,125,0.000,0.027,-0.009,-1.001,-264.400,-72.000,-93.300,0.062
23:35:00:642,2.875,0.250,0.025,-0.012,-0.992,-266.300,-71.200,-94.800,0.
23:35:00:807,125,2.438,0.312,0.026,-0.009,-0.990,-265.400,-72.100,-94.100
23:35:00:972,0.188,2.062,-0.188,0.027,-0.016,-0.989,-265.000,-71.100,-92
23:35:01:136,.900,-0.062,2.812,0.062,0.028,-0.015,-0.993,-264.700,-72.500
23:35:01:301,-91.300,0.562,2.688,0.062,0.026,-0.013,-0.999,-264.400,-71.
23:35:01:466,400,-93.400,0.062,2.875,0.062,0.023,-0.010,-0.990,-265.000
23:35:01:631,71.100,-93.200,0.562,2.750,0.188,0.033,-0.015,-0.991,-264.90
23:35:01:796,0,-71.500,-93.000,0.000,2.938,0.312,0.025,-0.012,-1.000
23:35:01:961,.400,-73.400,-91.800,-0.125,2.375,-0.125,0.026,-0.013,-0.995
23:35:02:126,-265.500,-70.900,-94.600,0.000,2.750,0.125,0.032,-0.010,-0.
23:35:02:290,993,-264.500,-71.400,-93.000,-0.312,2.625,0.125,0.028,-0.014
23:35:02:455,-1.003,-265.900,-70.500,-91.600,0.125,2.500,-0.125,0.028,-0
23:35:02:620,.008,-0.993,-264.400,-71.600,-91.300,-0.250,2.625,0.188,0.02
23:35:02:686,3,-0.009,-0.996,-266.200,-73.000,-92.800,-0.062,2.750,-0.375
23:35:02:849,0.026,-0.010,-0.992,-265.400,-71.600,-92.900,0.438,2.500,0.18
23:35:03:015,8,0.028,-0.010,-0.996,-266.100,-71.900,-90.800,0.188,2.875
