Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
12:13:11:576,0.023,-0.010,-0.983,-256.800,-75.100,-91.500,0.500,2.875,-2.875
12:13:11:678,0.212,0.061,-0.994,-257.400,-76.300,-91.600,-1.312,0.438,-0.438
12:13:11:758,0.026,-0.011,-1.012,-257.300,-76.700,-91.900,-0.312,1.938,0.250
12:13:11:847,0.025,-0.009,-0.999,-257.200,-74.100,-93.200,0.125,2.062,0.125
12:13:11:952,0.027,-0.010,-0.997,-258.400,-74.000,-90.100,0.312,2.188,-0.312
12:13:12:059,0.030,-0.014,-0.994,-254.900,-74.500,-91.500,0.188,2.500,0.312
12:13:12:167,0.026,-0.014,-0.996,-256.400,-75.500,-92.300,-0.750,2.375,0.000
12:13:12:275,0.030,-0.013,-0.998,-256.800,-75.500,-90.400,-0.188,2.438,0.125
12:13:12:387,0.028,-0.013,-0.991,-257.900,-75.800,-90.400,-0.250,2.062,0.125
12:13:12:492,0.028,-0.015,-0.992,-256.200,-76.000,-92.300,0.688,2.938,0.125
12:13:12:599,0.030,-0.018,-0.996,-256.400,-74.700,-92.900,0.500,3.188,-0.188
12:13:12:738,0.024,-0.010,-0.993,-257.000,-76.200,-94.400,0.188,2.562,0.188
12:13:12:846,0.031,-0.011,-0.998,-257.600,-75.200,-93.800,-0.500,2.438,0.000
12:13:12:956,0.027,-0.016,-0.990,-256.000,-74.500,-90.400,-0.125,2.562,0.062
12:13:13:063,0.024,-0.017,-0.998,-257.300,-75.500,-93.000,-0.188,2.688,0.312
12:13:13:185,0.028,-0.012,-1.002,-256.400,-75.200,-93.500,-0.250,2.000,0.062
12:13:13:290,0.025,-0.012,-1.003,-257.000,-75.000,-93.300,0.625,2.562,0.375
12:13:13:388,0.029,-0.015,-0.999,-257.900,-75.000,-92.200,-0.625,2.375,0.062
12:13:13:508,0.028,-0.009,-0.998,-257.100,-74.700,-90.200,0.062,2.562,-0.062
12:13:13:607,0.027,-0.016,-0.996,-257.300,-74.700,-93.300,0.188,2.938,0.250
12:13:13:713,0.027,-0.012,-0.976,-256.800,-74.700,-90.300,0.062,2.750,0.062
12:13:13:821,0.026,-0.007,-0.992,-256.500,-74.600,-92.400,0.250,2.812,0.125
12:13:13:940,0.030,-0.013,-0.992,-256.600,-76.400,-92.700,0.875,2.312,-0.125
12:13:14:031,0.029,-0.018,-0.992,-257.700,-75.600,-93.800,-0.062,2.062,0.250
12:13:14:168,0.029,-0.010,-0.997,-256.000,-74.100,-90.400,0.375,2.500,0.125
12:13:14:262,0.023,-0.009,-0.996,-258.400,-74.600,-92.900,0.375,2.750,0.250
12:13:14:372,0.025,-0.006,-0.996,-257.900,-75.300,-93.600,0.125,2.375,0.438
12:13:14:473,0.027,-0.015,-0.983,-256.200,-74.400,-92.600,0.062,2.312,0.375
12:13:14:586,0.030,-0.013,-0.988,-256.900,-74.700,-91.700,0.312,2.312,-0.062
12:13:14:698,0.030,-0.014,-1.002,-257.400,-75.000,-91.200,0.188,1.938,0.125
12:13:14:792,0.024,-0.013,-0.989,-257.100,-75.100,-92.500,0.688,2.500,0.188
12:13:14:915,0.027,-0.015,-0.990,-258.000,-75.000,-92.300,-0.500,2.375,-0.062
12:13:15:011,0.029,-0.016,-0.996,-257.100,-73.400,-93.700,0.062,2.312,-0.062
12:13:15:112,0.025,-0.013,-1.004,-257.300,-75.600,-93.200,0.438,2.938,0.062
12:13:15:223,0.027,-0.013,-1.000,-257.500,-75.200,-92.800,0.562,2.562,-0.062
12:13:15:339,0.026,-0.013,-0.996,-258.100,-74.800,-92.900,0.625,2.625,0.125
12:13:15:454,0.029,-0.017,-0.991,-258.400,-75.800,-90.000,0.250,2.312,0.312
12:13:15:567,0.024,-0.011,-0.996,-257.100,-74.500,-91.100,-0.062,2.438,0.062
12:13:15:668,0.027,-0.016,-0.999,-257.700,-74.400,-91.000,-0.062,2.438,0.188
12:13:15:768,0.024,-0.012,-0.992,-256.800,-74.800,-91.100,0.125,2.250,0.000
12:13:15:863,0.024,-0.012,-0.996,-256.200,-75.300,-94.500,0.500,2.812,0.000
12:13:15:979,0.027,-0.011,-0.992,-258.000,-75.400,-92.400,0.875,2.562,0.188
12:13:16:093,0.028,-0.014,-0.996,-256.800,-75.500,-91.800,-0.062,1.875,-0.125
12:13:16:202,0.026,-0.016,-0.999,-256.800,-74.900,-90.100,0.625,2.750,0.250
12:13:16:311,0.024,-0.014,-0.999,-257.600,-75.100,-91.300,0.375,2.812,0.188
12:13:16:437,0.025,-0.018,-1.000,-257.000,-76.100,-94.700,-0.250,2.438,0.000
12:13:16:530,0.036,-0.003,-1.034,-256.600,-74.700,-93.000,0.812,3.250,0.188
12:13:16:642,0.029,-0.012,-1.005,-256.800,-74.800,-91.200,0.000,2.188,0.188
12:13:16:748,0.030,-0.021,-0.996,-257.400,-76.400,-90.600,0.125,2.250,0.062
12:13:16:848,0.026,-0.020,-1.001,-256.000,-74.400,-92.200,0.250,3.000,0.250
12:13:16:964,0.024,-0.014,-0.995,-257.400,-75.600,-93.000,0.500,2.500,-0.062
12:13:17:074,0.032,-0.007,-0.990,-256.000,-75.200,-92.400,0.188,2.625,0.562
12:13:17:173,0.020,-0.012,-0.996,-259.100,-74.900,-92.900,0.125,2.875,-0.062
12:13:17:278,0.024,-0.011,-0.990,-256.600,-73.400,-92.200,-0.250,2.688,0.250
12:13:17:395,0.030,-0.011,-0.997,-255.800,-73.700,-92.800,0.688,1.938,0.125
12:13:17:499,0.025,-0.014,-0.992,-258.400,-75.000,-92.800,0.438,2.125,0.125
12:13:17:607,0.024,-0.014,-0.988,-256.900,-75.000,-92.800,0.188,2.938,0.000
12:13:17:716,0.024,-0.012,-0.994,-256.100,-75.600,-93.100,0.000,2.312,0.375
12:13:17:820,0.025,-0.011,-0.998,-256.800,-74.200,-91.800,0.125,2.375,0.625
12:13:17:923,0.029,-0.015,-1.001,-257.100,-73.500,-92.300,0.375,2.438,0.250
12:13:18:029,0.027,-0.012,-0.992,-256.800,-73.400,-93.200,0.062,2.438,0.375
12:13:18:153,0.026,-0.014,-0.988,-256.700,-75.400,-91.000,-0.125,2.688,0.125
12:13:18:256,0.026,-0.013,-0.990,-257.500,-76.000,-92.500,0.000,2.812,0.188
12:13:18:364,0.025,-0.008,-0.989,-257.700,-74.500,-92.100,0.000,2.375,0.375
12:13:18:480,0.026,-0.016,-0.996,-256.800,-75.300,-93.000,0.500,2.812,0.375
12:13:18:585,0.021,-0.012,-0.992,-257.800,-73.900,-91.300,-0.188,2.000,0.062
12:13:18:685,0.029,-0.015,-0.991,-255.800,-74.300,-92.700,-0.250,2.562,0.250
12:13:18:796,0.028,-0.014,-0.990,-256.500,-75.000,-93.000,0.562,2.750,0.375
12:13:18:897,0.027,-0.013,-0.988,-255.300,-75.200,-90.700,0.250,2.500,0.062
