Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
00:14:34:556,0.025,-0.011,-0.996,-263.600,-72.600,-92.500,0.562,2.500,0.500
00:14:34:678,0.024,-0.008,-0.990,-263.600,-72.700,-92.200,0.125,2.062,0.250
00:14:34:793,0.025,-0.011,-0.998,-263.700,-73.200,-94.100,0.375,2.562,0.000
00:14:34:943,0.032,-0.013,-0.996,-263.800,-73.000,-93.500,-0.062,2.688,0.375
00:14:35:050,0.025,-0.013,-0.990,-264.100,-72.700,-93.000,0.062,2.875,0.500
00:14:35:173,0.024,-0.006,-0.999,-264.500,-72.100,-92.700,0.000,2.688,0.125
00:14:35:299,0.026,-0.010,-0.996,-264.700,-71.800,-93.700,0.000,2.250,0.250
00:14:35:407,0.024,-0.009,-1.002,-262.500,-73.300,-91.700,0.375,2.938,0.062
00:14:35:524,0.025,-0.008,-0.990,-264.000,-71.600,-90.400,-0.125,2.562,0.062
00:14:35:640,0.023,-0.010,-0.991,-263.900,-72.500,-92.900,0.375,2.688,0.000
00:14:35:755,0.024,-0.013,-0.996,-263.600,-72.800,-94.400,0.500,2.312,0.125
00:14:35:875,0.029,-0.008,-0.996,-263.500,-73.600,-91.400,0.000,2.562,0.250
00:14:35:987,0.029,-0.013,-0.991,-262.200,-72.100,-95.600,0.625,2.250,0.312
00:14:36:115,0.030,-0.014,-0.994,-264.400,-72.800,-93.000,0.438,2.812,0.125
00:14:36:253,0.028,-0.007,-0.991,-265.300,-73.400,-93.700,0.625,2.750,0.000
00:14:36:377,0.033,-0.010,-0.997,-264.400,-73.200,-93.200,0.188,2.938,0.375
00:14:36:475,0.029,-0.014,-1.002,-263.100,-73.100,-92.500,0.188,3.188,0.188
00:14:36:601,0.024,-0.008,-0.991,-263.500,-70.600,-91.600,0.125,3.062,0.312
00:14:36:687,0.026,-0.006,-0.990,-263.900,-72.500,-91.200,0.125,2.812,0.375
00:14:36:832,0.027,-0.011,-0.986,-263.900,-72.600,-91.400,0.062,3.188,0.062
00:14:36:928,0.026,-0.013,-0.994,-265.100,-72.200,-91.500,0.250,3.062,0.188
00:14:37:066,0.026,-0.016,-0.990,-264.400,-72.200,-92.700,-0.750,2.938,0.250
00:14:37:197,0.029,-0.008,-0.998,-263.700,-74.900,-93.200,-0.188,2.938,0.250
00:14:37:341,0.031,-0.007,-0.988,-264.100,-72.800,-93.500,0.062,1.938,0.188
00:14:37:427,0.024,-0.010,-0.994,-264.300,-72.200,-93.100,0.375,2.625,0.062
00:14:37:548,0.029,-0.013,-0.994,-263.600,-73.000,-95.400,-0.312,2.500,0.500
00:14:37:664,0.025,-0.012,-0.990,-264.800,-75.000,-93.000,0.188,2.312,0.250
00:14:37:794,0.029,-0.011,-0.993,-264.000,-72.700,-94.000,0.375,2.688,0.250
00:14:37:930,0.022,-0.010,-0.990,-264.800,-71.300,-92.600,0.062,2.312,0.312
00:14:38:027,0.026,-0.011,-0.995,-264.100,-72.900,-93.300,0.000,2.562,-0.188
00:14:38:171,0.025,-0.013,-0.996,-264.500,-72.300,-90.600,0.125,2.688,0.062
00:14:38:281,0.021,-0.010,-0.994,-263.500,-74.600,-91.400,-0.562,3.000,0.188
00:14:38:411,0.030,-0.012,-0.997,-265.600,-72.800,-91.600,-0.250,2.438,0.250
00:14:38:498,0.027,-0.012,-0.995,-264.200,-73.100,-93.100,-0.188,2.562,0.250
00:14:38:627,0.029,-0.011,-0.999,-264.700,-72.600,-90.300,0.062,2.375,0.500
00:14:38:748,0.024,-0.012,-0.989,-265.600,-73.300,-94.100,0.250,2.375,0.125
00:14:38:892,0.031,-0.011,-0.995,-264.700,-74.400,-93.600,0.438,2.812,-0.062
00:14:38:998,0.027,-0.015,-0.996,-264.000,-74.300,-92.300,-0.188,2.812,0.188
