Time,Ax,Ay,Az,Gx,Gy,Gz
17:30:00:151,0.021959999576210976,0.009759999811649323,-0.9984480142593384,0.125,3.4375,0.5
17:30:00:201,0.11370400339365005,-0.8413119912147522,-1.3781119585037231,-1.0,6.875,-1.375
17:30:00:247,0.01756799966096878,-0.24887999892234802,-0.8827919960021973,0.875,2.125,-2.25
17:30:00:297,0.02147199958562851,-0.03415999934077263,-0.9716079831123352,0.9375,1.875,-0.5
17:30:00:347,0.02000799961388111,-0.022935999557375908,-0.9677039980888367,-0.375,1.625,0.4375
17:30:00:397,0.004879999905824661,-0.009759999811649323,-0.9374480247497559,0.4375,3.4375,0.375
17:30:00:447,0.0019519999623298645,-0.006831999868154526,-1.0218720436096191,0.75,3.1875,0.375
17:30:00:497,0.01659199967980385,-0.0058559998869895935,-0.9994239807128906,-0.125,2.5625,0.25
17:30:00:548,0.007319999858736992,-0.0058559998869895935,-0.979416012763977,0.3125,2.5625,0.375
17:30:00:597,0.011223999783396721,-0.0029279999434947968,-0.9964960217475891,0.125,2.5,0.0
17:30:00:647,0.01268799975514412,-0.003903999924659729,-0.9964960217475891,0.0,2.6875,0.3125
17:30:00:697,0.010735999792814255,-0.0019519999623298645,-0.9886879920959473,0.1875,2.625,0.0625
17:30:00:748,0.010735999792814255,-0.0009759999811649323,-0.9935680031776428,0.1875,2.6875,0.1875
17:30:00:798,0.011711999773979187,-0.0019519999623298645,-0.987712025642395,0.0625,2.75,0.1875
17:30:00:848,0.01268799975514412,-0.0029279999434947968,-0.9925919771194458,0.5,3.0,0.0625
17:30:00:898,0.012199999764561653,-0.010735999792814255,-0.9935680031776428,0.875,2.875,0.125
17:30:00:949,0.01268799975514412,-0.0019519999623298645,-0.9916160106658936,0.0625,2.625,0.0
17:30:00:998,0.009759999811649323,-0.004879999905824661,-1.002351999282837,0.125,2.625,0.0625
17:30:01:047,0.011223999783396721,-0.006831999868154526,-0.987712025642395,0.25,2.8125,0.375
17:30:01:097,0.012199999764561653,-0.003903999924659729,-0.9945440292358398,0.5,3.0625,0.0625
17:30:01:148,0.00878399983048439,0.0004879999905824661,-0.9925919771194458,-0.1875,2.4375,0.0
17:30:01:198,0.00878399983048439,-0.007807999849319458,-0.9964960217475891,0.0625,2.9375,0.3125
17:30:01:248,0.009759999811649323,-0.004879999905824661,-0.9984480142593384,0.125,2.375,0.0625
17:30:01:298,0.009759999811649323,-0.0058559998869895935,-0.9945440292358398,0.75,3.4375,0.125
17:30:01:348,0.011711999773979187,-0.006831999868154526,-0.9955199956893921,0.375,2.75,0.1875
17:30:01:398,0.0058559998869895935,-0.01268799975514412,-0.9906399846076965,0.0625,2.4375,0.1875
17:30:01:448,0.009759999811649323,-0.0029279999434947968,-0.9896640181541443,0.0625,2.5625,0.125
17:30:01:498,0.007319999858736992,-0.0014639999717473984,-0.9886879920959473,-0.0625,3.1875,0.0625
17:30:01:548,0.010735999792814255,-0.0058559998869895935,-0.9896640181541443,0.125,2.875,0.0625
17:50:37:273,0.032207999378442764,-0.007807999849319458,-1.0379760265350342,0.25,4.5625,0.125
17:50:37:348,0.1844639927148819,-0.3816159963607788,-1.0921440124511719,0.375,2.125,-0.3125
17:50:37:402,0.039528001099824905,-0.04050400108098984,-1.1150799989700317,-0.3125,3.375,-1.9375
17:50:37:448,0.030743999406695366,0.009759999811649323,-1.1712000370025635,-0.1875,1.1875,-0.625
17:50:37:499,0.016103999689221382,-0.0029279999434947968,-0.9184160232543945,0.3125,3.5625,0.4375
17:50:37:549,0.016103999689221382,-0.014639999717473984,-1.0272400379180908,0.3125,3.3125,0.0625
17:50:37:599,0.017079999670386314,-0.007807999849319458,-0.987712025642395,0.0,2.8125,0.3125
17:50:37:649,0.018543999642133713,-0.0029279999434947968,-0.9945440292358398,0.0,2.625,0.125
17:50:37:699,0.01268799975514412,-0.006831999868154526,-1.0033279657363892,-0.25,2.8125,-0.0625
17:50:37:749,0.01512799970805645,-0.007807999849319458,-0.987712025642395,-0.0625,3.4375,0.1875
17:50:37:799,0.018543999642133713,-0.006831999868154526,-0.9945440292358398,0.125,2.625,-0.0625
17:50:37:849,0.018543999642133713,-0.010735999792814255,-1.0003999471664429,0.4375,2.9375,-0.1875
17:50:37:899,0.020983999595046043,-0.003903999924659729,-0.9955199956893921,0.375,2.8125,-0.125
17:50:37:949,0.016103999689221382,-0.007807999849319458,-0.9994239807128906,-0.1875,2.625,0.125
17:50:37:999,0.01659199967980385,-0.0058559998869895935,-1.0013760328292847,0.375,2.3125,0.3125
17:50:38:049,0.01659199967980385,-0.0058559998869895935,-0.9974719882011414,0.1875,2.5,0.125
17:50:38:099,0.020983999595046043,-0.0058559998869895935,-0.9945440292358398,0.0625,2.5,0.0
17:50:38:149,0.022447999566793442,-0.004879999905824661,-0.9896640181541443,-0.125,2.8125,0.0
17:50:38:199,0.010735999792814255,-0.009759999811649323,-1.0033279657363892,0.0625,2.625,-0.0625
17:50:38:249,0.020983999595046043,-0.004879999905824661,-0.9906399846076965,0.1875,3.0,0.125
17:50:38:299,0.01512799970805645,-0.0058559998869895935,-0.9935680031776428,0.0,2.75,0.3125
17:50:38:349,0.02000799961388111,-0.0058559998869895935,-0.9906399846076965,0.0625,2.5,0.25
17:50:38:400,0.01512799970805645,-0.0058559998869895935,-0.9916160106658936,-0.5625,2.3125,0.1875
17:50:38:450,0.02000799961388111,-0.0058559998869895935,-0.9964960217475891,0.375,2.9375,0.125
17:50:38:500,0.019519999623298645,-0.006831999868154526,-0.9974719882011414,-0.1875,2.5,0.25
17:50:38:551,0.013175999745726585,-0.0029279999434947968,-0.9974719882011414,0.625,2.9375,0.125
17:50:38:601,0.01512799970805645,-0.00878399983048439,-0.9935680031776428,0.0625,2.75,0.0
17:50:38:651,0.014151999726891518,-0.011711999773979187,-0.9984480142593384,0.1875,2.875,0.1875
17:50:38:701,0.01659199967980385,-0.007807999849319458,-0.9964960217475891,0.375,3.0625,0.125
17:50:38:751,0.010735999792814255,-0.003903999924659729,-0.9896640181541443,0.75,2.5,-0.125
17:50:38:801,0.013663999736309052,-0.003903999924659729,-0.9906399846076965,-0.125,2.8125,0.3125
17:50:38:851,0.02000799961388111,-0.009759999811649323,-0.9935680031776428,0.625,2.625,0.5
17:50:38:901,0.019519999623298645,-0.003415999934077263,-0.9935680031776428,0.0625,2.875,0.0625
17:50:38:951,0.022447999566793442,-0.004879999905824661,-0.9916160106658936,0.125,2.25,-0.25
17:50:39:001,0.017079999670386314,-0.0058559998869895935,-0.9984480142593384,0.1875,2.9375,0.375
17:50:39:051,0.019519999623298645,-0.013663999736309052,-0.9984480142593384,-0.5625,2.6875,0.0
17:50:39:101,0.01268799975514412,-0.00878399983048439,-0.9974719882011414,0.0,2.9375,0.125
17:50:39:151,0.017079999670386314,-0.013663999736309052,-0.9916160106658936,0.0,2.1875,0.0625
17:50:39:201,0.016103999689221382,-0.006831999868154526,-0.9964960217475891,0.625,3.25,0.125
17:50:39:251,0.02000799961388111,-0.00878399983048439,-0.9994239807128906,0.0,2.9375,0.0
17:50:39:301,0.011711999773979187,-0.00878399983048439,-0.9974719882011414,0.25,3.0,0.3125
17:50:39:351,0.01512799970805645,-0.010735999792814255,-0.9964960217475891,0.0625,2.9375,0.0625
17:50:39:401,0.018543999642133713,-0.007807999849319458,-0.9906399846076965,0.375,2.6875,-0.4375
17:50:39:450,0.022447999566793442,-0.006831999868154526,-0.9984480142593384,0.4375,3.25,0.375
17:50:39:499,0.01659199967980385,-0.007807999849319458,-0.9935680031776428,0.3125,2.5,0.1875
17:50:39:550,0.014151999726891518,-0.00878399983048439,-0.9945440292358398,0.5,3.125,0.3125
17:50:39:600,0.020983999595046043,-0.007807999849319458,-0.9886879920959473,-0.1875,2.3125,0.125
17:50:39:650,0.00878399983048439,-0.003903999924659729,-0.9833199977874756,-0.125,2.5625,0.3125
17:50:39:700,0.021959999576210976,-0.004879999905824661,-1.010159969329834,0.125,2.9375,0.0
17:50:39:750,0.014151999726891518,-0.006831999868154526,-0.9984480142593384,0.1875,2.8125,-0.0625
17:50:39:800,0.019519999623298645,-0.010735999792814255,-0.9935680031776428,0.3125,2.6875,-0.0625
17:50:39:850,0.02000799961388111,-0.004879999905824661,-0.9994239807128906,0.0625,2.6875,0.375
17:50:39:900,0.01659199967980385,-0.007807999849319458,-0.9906399846076965,0.0,2.8125,0.1875
17:50:39:950,0.01512799970805645,-0.0058559998869895935,-0.9852719902992249,-0.25,2.6875,0.3125
17:50:40:000,0.021959999576210976,-0.006831999868154526,-0.9964960217475891,0.125,2.5,-0.125
17:50:40:046,0.018543999642133713,-0.0058559998869895935,-0.9916160106658936,0.0625,2.8125,0.375
17:50:40:096,0.023423999547958374,-0.007807999849319458,-0.9974719882011414,0.0625,2.875,0.0625
17:50:40:146,0.016103999689221382,-0.007807999849319458,-1.0003999471664429,-0.3125,2.875,0.0
17:50:40:196,0.018543999642133713,-0.0029279999434947968,-0.9935680031776428,0.125,2.9375,0.1875
17:50:40:246,0.01756799966096878,-0.011711999773979187,-1.0003999471664429,-0.375,3.4375,0.0
17:50:40:296,0.016103999689221382,-0.0058559998869895935,-1.0111360549926758,0.625,2.625,0.0
17:50:40:346,0.01756799966096878,-0.006831999868154526,-0.985759973526001,0.25,2.3125,0.0625
17:50:40:397,0.016103999689221382,-0.01268799975514412,-0.9813680052757263,0.5625,3.0,0.125
17:50:40:447,0.01903199963271618,-0.00878399983048439,-0.9964960217475891,-0.1875,2.9375,0.125
17:50:40:497,0.013663999736309052,-0.0029279999434947968,-0.9945440292358398,0.375,2.8125,0.375
17:50:40:548,0.02000799961388111,-0.006831999868154526,-0.9994239807128906,0.75,3.125,0.125
