Time,Ax,Ay,Az,Gx,Gy,Gz
17:54:02:841,0.02000799961388111,-0.00634399987757206,-1.002351999282837,0.375,4.6875,0.0
17:54:02:901,-0.09418399631977081,0.44896000623703003,-1.1853519678115845,1.3125,4.875,0.1875
17:54:02:961,0.057583998888731,-0.20788800716400146,-0.6636800169944763,0.6875,1.75,-1.375
17:54:03:021,0.030743999406695366,-0.035624001175165176,-1.036512017250061,0.8125,4.75,-0.3125
17:54:03:081,0.01659199967980385,0.0024399999529123306,-1.0726239681243896,0.5,3.8125,0.375
17:54:03:141,0.02000799961388111,-0.0019519999623298645,-1.034559965133667,0.3125,2.75,0.125
17:54:03:197,0.016103999689221382,-0.006831999868154526,-1.004304051399231,-0.3125,2.8125,0.0625
17:54:03:256,0.01268799975514412,-0.007807999849319458,-0.9984480142593384,0.8125,2.375,0.125
17:54:03:316,0.013663999736309052,-0.007807999849319458,-1.0052800178527832,-0.125,2.6875,0.25
17:54:03:376,0.01756799966096878,-0.007807999849319458,-0.9906399846076965,0.0625,3.0,0.25
17:54:03:436,0.021959999576210976,-0.006831999868154526,-1.0033279657363892,0.3125,2.375,0.125
17:54:03:527,0.011711999773979187,-0.00878399983048439,-0.9935680031776428,0.0625,3.625,0.3125
17:54:03:618,0.009759999811649323,-0.00878399983048439,-0.9994239807128906,0.1875,2.5625,-0.125
17:54:03:675,0.020983999595046043,-0.0058559998869895935,-1.0003999471664429,0.375,2.75,0.5625
17:54:03:737,0.01756799966096878,-0.0058559998869895935,-1.002351999282837,0.25,3.375,0.0625
17:54:03:797,0.018055999651551247,-0.009759999811649323,-0.9886879920959473,0.125,2.625,0.1875
17:54:03:857,0.011711999773979187,-0.009759999811649323,-0.9984480142593384,0.3125,2.25,0.1875
17:54:03:917,0.016103999689221382,-0.006831999868154526,-0.9955199956893921,0.1875,2.4375,0.0625
17:54:03:977,0.01756799966096878,-0.0019519999623298645,-1.0013760328292847,0.3125,2.4375,0.1875
17:54:04:037,0.01756799966096878,-0.0058559998869895935,-0.9886879920959473,0.375,2.9375,0.4375
17:54:04:097,0.02000799961388111,-0.011711999773979187,-0.9906399846076965,0.125,2.625,0.3125
17:54:04:157,0.01512799970805645,-0.0058559998869895935,-0.9896640181541443,0.4375,2.375,0.375
17:54:04:213,0.013175999745726585,-0.009759999811649323,-0.9964960217475891,0.125,2.5625,0.3125
17:54:04:272,0.01268799975514412,-0.0029279999434947968,-0.9896640181541443,0.5,3.1875,-0.0625
17:54:04:332,0.01756799966096878,-0.007807999849319458,-1.002351999282837,0.75,3.3125,0.1875
17:54:04:392,0.01512799970805645,-0.007807999849319458,-0.9935680031776428,-0.25,2.3125,-0.3125
17:54:04:452,0.01512799970805645,-0.009759999811649323,-0.9916160106658936,0.4375,2.875,-0.0625
17:54:04:512,0.013663999736309052,-0.009759999811649323,-1.002351999282837,0.1875,2.9375,-0.1875
17:54:04:572,0.01756799966096878,-0.007807999849319458,-0.9916160106658936,0.25,2.5,0.1875
17:54:04:632,0.01659199967980385,-0.0058559998869895935,-0.987712025642395,0.1875,2.75,0.3125
17:54:04:692,0.01512799970805645,-0.005367999896407127,-0.9925919771194458,0.3125,2.9375,-0.0625
17:54:04:752,0.011711999773979187,-0.007807999849319458,-0.9955199956893921,0.0625,2.1875,0.1875
17:54:04:812,0.016103999689221382,-0.003903999924659729,-0.9984480142593384,-0.25,2.375,0.125
17:54:04:872,0.011711999773979187,-0.004879999905824661,-0.9906399846076965,-0.25,2.4375,0.5625
17:54:04:932,0.01756799966096878,-0.009759999811649323,-0.9916160106658936,0.3125,2.9375,0.0625
17:54:04:992,0.01512799970805645,-0.0058559998869895935,-1.0033279657363892,0.5,2.375,0.0
17:54:05:052,0.020495999604463577,-0.0029279999434947968,-0.9984480142593384,0.6875,2.875,0.1875
17:54:05:112,0.018055999651551247,-0.0029279999434947968,-0.9994239807128906,0.3125,2.375,0.3125
17:54:05:172,0.01512799970805645,-0.0024399999529123306,-1.0013760328292847,0.25,2.625,0.3125
17:54:05:233,0.015615999698638916,-0.006831999868154526,-0.9984480142593384,0.3125,2.875,0.0
17:54:05:293,0.018543999642133713,-0.006831999868154526,-1.0003999471664429,-0.125,2.875,0.1875
17:54:05:353,0.01268799975514412,-0.003903999924659729,-0.9906399846076965,0.0625,2.75,0.375
17:54:05:413,0.010735999792814255,-0.00878399983048439,-0.9955199956893921,0.25,2.9375,0.3125
17:54:05:473,0.02000799961388111,-0.0014639999717473984,-0.9906399846076965,0.3125,2.8125,-0.0625
17:54:05:533,0.01268799975514412,-0.00878399983048439,-0.9896640181541443,0.125,2.75,0.125
17:54:05:598,0.01268799975514412,-0.004879999905824661,-0.9984480142593384,0.375,2.8125,-0.125
17:54:05:658,0.031231999397277832,-0.024887999519705772,-1.0643279552459717,-0.0625,3.0625,0.125
17:54:05:718,-0.2327760010957718,0.281576007604599,-1.1272799968719482,-1.0,3.5,-3.375
17:54:05:778,0.04636000096797943,-0.1512800008058548,-1.0960479974746704,0.3125,1.0,-1.0625
