Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
00:17:12:909,0.032,-0.010,-0.995,-263.400,-72.000,-94.200,0.625,2.688,-0.062
00:17:13:005,0.030,-0.014,-0.986,-265.600,-73.100,-94.500,0.125,3.125,0.062
00:17:13:129,0.026,-0.012,-0.993,-263.600,-72.600,-92.900,0.125,2.750,0.312
00:17:13:237,0.031,-0.015,-0.998,-265.100,-72.100,-93.500,0.062,2.875,0.062
00:17:13:381,0.026,-0.011,-1.000,-264.400,-71.500,-91.400,0.062,2.000,0.312
00:17:13:483,0.027,-0.014,-0.994,-263.900,-71.600,-91.900,0.250,2.500,0.500
00:17:13:587,0.025,-0.011,-0.992,-265.400,-72.900,-92.400,-0.438,2.812,-0.250
00:17:13:719,0.029,-0.014,-0.995,-265.500,-72.800,-93.500,0.562,2.812,-0.125
00:17:13:816,0.024,-0.009,-0.997,-264.200,-72.900,-95.600,-0.062,2.562,0.250
00:17:13:960,0.028,-0.012,-0.993,-265.300,-71.500,-91.800,0.500,2.688,0.062
00:17:14:074,0.026,-0.013,-0.996,-265.500,-70.800,-91.000,0.375,2.562,0.188
00:17:14:186,0.028,-0.012,-0.997,-266.800,-72.400,-92.500,0.062,2.625,0.062
00:17:14:288,0.030,-0.012,-0.996,-264.200,-72.600,-93.000,0.500,2.500,0.188
00:17:14:420,0.025,-0.014,-0.996,-264.000,-72.000,-93.700,0.125,2.688,0.188
00:17:14:527,0.027,-0.011,-0.989,-265.500,-71.400,-93.300,0.312,2.875,0.125
00:17:14:657,0.025,-0.008,-0.996,-264.100,-72.900,-94.300,0.188,3.000,-0.250
00:17:14:748,0.029,-0.013,-0.987,-266.800,-73.200,-94.800,0.250,2.312,-0.062
00:17:14:875,0.029,-0.016,-0.998,-264.800,-71.600,-93.500,0.500,2.875,0.188
00:17:15:039,0.028,-0.008,-0.993,-264.900,-72.900,-92.500,0.000,2.562,0.188
00:17:15:123,0.028,-0.013,-0.990,-265.000,-72.800,-94.300,-0.250,3.125,0.125
00:17:15:246,0.028,-0.008,-0.996,-264.600,-71.700,-92.500,0.312,2.562,0.188
00:17:15:381,0.024,-0.014,-0.990,-264.900,-72.200,-90.000,-0.062,2.438,0.062
00:17:15:467,0.029,-0.013,-0.992,-265.000,-73.200,-93.700,0.375,2.938,0.312
00:17:15:588,0.026,-0.011,-0.989,-264.700,-71.700,-91.700,0.188,2.812,-0.125
00:17:15:707,0.026,-0.009,-0.996,-264.600,-73.700,-91.600,-0.125,3.062,0.000
00:17:15:846,0.029,-0.017,-0.988,-265.100,-71.600,-92.300,0.000,3.375,0.000
00:17:15:976,0.026,-0.008,-0.996,-265.800,-72.400,-90.800,-0.375,2.875,0.250
00:17:16:087,0.026,-0.014,-0.992,-264.800,-73.600,-94.700,-0.500,2.125,0.188
00:17:16:230,0.022,-0.011,-0.996,-266.600,-71.500,-91.700,-0.312,2.625,-0.188
00:17:16:324,0.030,-0.010,-0.990,-263.900,-72.100,-93.300,0.312,2.625,0.062
00:17:16:460,0.027,-0.014,-0.996,-264.500,-72.700,-94.300,-0.375,2.875,0.125
00:17:16:557,0.028,-0.017,-0.996,-264.800,-73.500,-93.900,0.312,2.875,0.000
00:17:16:676,0.022,-0.010,-0.996,-266.800,-72.200,-96.700,-0.125,2.500,0.312
00:17:16:803,0.026,-0.015,-0.994,-264.800,-71.500,-93.000,0.188,2.688,0.125
00:17:16:898,0.027,-0.010,-0.989,-265.000,-73.100,-94.000,0.438,3.250,0.188
00:17:17:042,0.026,-0.014,-1.004,-264.500,-72.700,-91.700,-0.312,2.562,0.062
00:17:17:145,0.028,-0.010,-0.998,-264.500,-72.900,-93.700,-0.688,2.500,0.500
00:17:17:283,0.026,-0.017,-0.991,-266.000,-71.300,-92.000,-0.438,2.625,0.250
00:17:17:366,0.025,-0.013,-0.994,-264.000,-72.200,-90.200,0.438,2.750,0.125
00:17:17:497,0.025,-0.015,-1.006,-265.500,-71.000,-92.500,0.250,2.375,0.125
00:17:17:641,0.023,-0.010,-0.996,-264.500,-72.200,-94.400,0.000,3.062,0.125
00:17:17:728,0.030,-0.013,-0.995,-264.100,-73.200,-91.700,0.438,2.750,-0.062
00:17:17:856,0.025,-0.013,-0.993,-264.400,-74.800,-93.700,0.062,2.500,0.188
00:17:17:983,0.027,-0.008,-1.001,-265.000,-72.900,-93.500,0.125,3.500,-0.125
00:17:18:096,0.026,-0.012,-0.998,-262.800,-73.700,-94.100,-0.375,2.750,-0.312
00:17:18:234,0.025,-0.013,-0.995,-263.900,-72.300,-91.300,0.000,3.250,0.188
00:17:18:347,0.029,-0.011,-0.994,-263.700,-72.600,-92.500,0.250,2.938,0.312
00:17:18:467,0.024,-0.012,-0.990,-263.900,-73.900,-92.600,0.438,1.938,0.062
00:17:18:586,0.024,-0.010,-0.995,-265.200,-72.400,-93.200,0.625,2.812,0.250
00:17:18:705,0.021,-0.014,-0.989,-265.000,-71.300,-92.000,0.188,2.875,0.125
00:17:18:841,0.031,-0.013,-0.993,-266.000,-72.400,-92.800,0.500,3.188,0.375
00:17:18:959,0.026,-0.012,-1.001,-264.000,-73.600,-92.300,-0.250,1.875,0.000
00:17:19:068,0.027,-0.013,-0.997,-264.500,-72.800,-91.500,0.500,2.500,0.188
00:17:19:194,0.026,-0.015,-0.994,-265.100,-72.100,-93.100,-0.062,2.375,0.125
