Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
23:51:44:499,0.027,-0.015,-0.996,-265.400,-72.100,-90.100,0.062,2.375,-0.125
23:51:44:647,0.023,-0.017,-0.993,-266.200,-73.500,-93.000,0.500,2.375,0.188
23:51:44:820,0.026,-0.010,-0.992,-266.800,-71.500,-89.300,0.188,2.625,-0.062
23:51:44:998,0.029,-0.012,-1.001,-265.000,-71.800,-92.300,-0.188,2.625,0.000
23:51:45:181,0.023,-0.013,-0.991,-265.500,-73.200,-93.400,0.062,2.500,0.250
23:51:45:307,0.028,-0.010,-0.997,-264.900,-71.800,-91.000,0.688,2.688,0.312
23:51:45:475,0.027,-0.013,-0.988,-264.600,-72.600,-90.900,0.125,3.125,0.062
23:51:45:637,0.024,-0.011,-0.994,-265.400,-72.100,-94.700,0.125,3.250,0.188
23:51:45:840,0.031,-0.014,-0.990,-266.500,-72.200,-92.600,-0.188,2.938,0.062
23:51:45:997,0.026,-0.006,-0.996,-265.900,-72.600,-93.800,0.125,2.812,0.375
23:51:46:163,0.027,-0.005,-0.993,-265.100,-72.700,-92.100,0.000,2.562,0.250
23:51:46:325,0.029,-0.012,-0.996,-266.800,-72.300,-94.100,0.312,2.812,0.062
23:51:46:511,0.023,-0.010,-0.995,-263.600,-71.600,-90.000,0.562,2.688,0.000
23:51:46:685,0.026,-0.014,-0.997,-264.600,-73.000,-92.900,0.562,3.062,0.438
23:51:46:841,0.030,-0.014,-0.990,-265.300,-71.700,-93.700,0.125,2.875,-0.062
23:51:47:000,0.027,-0.013,-0.998,-265.200,-71.400,-93.100,0.062,2.750,0.312
23:51:47:175,0.027,-0.009,-0.991,-265.600,-70.900,-92.400,-0.500,2.938,0.438
23:51:47:360,0.028,-0.008,-0.993,-265.100,-72.700,-95.000,0.250,2.688,0.250
