Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
02:05:56:026,0.022,0.004,-1.005,-261.000,-71.400,-92.800,0.062,2.125,0.062
02:05:56:159,0.012,0.002,-0.987,-259.700,-72.800,-93.000,0.062,2.125,0.062
02:05:56:331,-0.051,0.015,-1.041,-259.300,-73.100,-94.600,0.062,2.125,0.062
02:05:56:491,0.023,-0.002,-0.931,-260.900,-73.800,-92.100,0.062,2.125,0.062
02:05:56:679,0.038,-0.006,-1.097,-258.800,-71.100,-91.700,-1.562,1.125,0.125
02:05:56:887,0.056,-0.042,-0.968,-260.300,-72.900,-92.500,-0.750,2.250,0.375
02:05:57:093,0.054,-0.012,-1.039,-259.700,-70.900,-92.800,0.000,2.812,2.875
02:05:57:308,0.081,-0.048,-0.870,-259.500,-72.100,-91.900,0.375,2.375,5.375
02:05:57:521,0.020,0.008,-1.011,-260.200,-70.400,-94.200,0.125,3.375,7.375
02:05:57:749,0.043,-0.012,-1.017,-259.100,-69.900,-92.800,-0.125,2.000,7.750
02:05:57:939,0.038,-0.015,-0.994,-259.500,-72.000,-92.900,0.375,2.062,8.688
02:05:58:152,0.040,0.003,-1.021,-258.100,-70.900,-93.000,-0.688,2.750,9.562
02:05:58:358,0.018,0.003,-1.002,-260.000,-72.200,-91.300,-0.312,2.500,10.562
02:05:58:568,0.011,-0.000,-0.963,-261.100,-71.100,-92.800,0.500,2.500,10.000
02:05:58:784,-0.075,0.062,-0.993,-259.700,-70.500,-92.600,-0.375,2.000,9.562
02:05:58:984,-0.040,0.042,-0.981,-260.500,-69.800,-90.700,0.000,2.875,3.188
02:05:59:216,0.009,0.018,-0.994,-260.200,-72.100,-94.500,-0.062,2.938,-0.250
02:05:59:424,0.032,-0.013,-1.025,-260.300,-72.500,-89.700,-0.062,2.938,-0.062
02:05:59:623,0.006,0.014,-0.971,-259.600,-71.700,-90.400,0.125,2.312,-0.062
02:05:59:839,0.027,0.002,-1.027,-260.000,-70.200,-90.200,0.750,2.688,0.000
02:06:00:045,0.021,-0.008,-0.985,-258.700,-71.500,-90.900,0.375,2.312,-0.062
02:06:00:252,0.024,0.000,-1.020,-258.500,-72.000,-91.200,0.500,3.125,0.188
02:06:00:451,0.024,0.000,-0.974,-260.100,-71.700,-92.500,0.625,3.062,0.188
02:06:00:671,0.020,0.002,-0.975,-259.600,-71.900,-90.900,0.312,2.500,-0.125
02:06:00:887,0.019,0.000,-1.001,-260.400,-71.100,-93.200,0.125,2.938,-0.062
02:06:01:161,0.005,-0.012,-0.992,-260.000,-70.800,-92.100,0.062,2.688,0.125
02:06:01:419,0.006,-0.032,-0.995,-259.200,-70.700,-91.600,0.562,3.062,-0.250
02:06:01:626,0.009,-0.021,-0.992,-259.400,-72.900,-92.200,-0.125,2.250,-0.125
02:06:01:834,0.037,0.034,-1.003,-258.600,-71.600,-92.000,-0.188,3.188,-0.500
02:06:02:048,0.033,0.026,-0.982,-259.900,-71.700,-94.200,0.000,3.062,-0.250
02:06:02:276,0.025,-0.000,-1.003,-259.000,-71.900,-93.300,-0.062,2.938,0.375
02:06:02:461,0.022,0.001,-0.997,-259.000,-71.900,-92.400,0.000,3.125,0.000
02:06:02:726,0.021,0.002,-0.983,-259.900,-71.900,-92.100,0.438,2.562,0.062
02:06:02:930,0.020,0.002,-0.996,-259.500,-70.800,-91.600,0.188,2.875,0.062
02:06:03:130,0.022,0.001,-1.002,-260.500,-70.600,-92.600,0.625,2.812,0.125
02:06:03:329,0.020,0.007,-0.998,-260.300,-71.800,-91.400,0.500,2.938,0.125
02:06:03:529,0.023,0.002,-0.997,-260.900,-72.700,-89.500,0.188,3.375,0.125
02:06:03:761,0.019,0.002,-0.992,-259.400,-72.000,-90.700,0.188,2.438,0.000
02:06:03:967,0.021,0.003,-0.996,-259.800,-72.400,-92.900,0.188,2.750,0.125
02:06:04:181,0.021,0.002,-0.996,-259.600,-71.100,-94.200,0.125,2.500,0.375
02:06:04:381,0.016,0.007,-0.992,-258.800,-73.200,-94.400,0.125,2.938,0.062
02:06:04:578,0.025,0.003,-0.996,-259.600,-72.000,-92.400,0.438,2.562,0.000
02:06:04:761,0.020,0.003,-0.993,-259.900,-71.300,-93.000,-0.125,2.750,0.125
02:06:04:967,0.024,0.004,-0.989,-260.800,-71.700,-91.100,0.000,2.625,-0.188
02:06:05:189,0.020,0.002,-0.987,-260.300,-70.100,-92.400,0.000,2.312,-0.062
02:06:05:390,0.021,0.003,-0.990,-259.900,-71.500,-94.400,0.625,2.938,0.188
02:06:05:595,0.021,0.003,-0.997,-260.200,-70.800,-90.400,0.125,3.188,-0.062
02:06:05:803,0.020,0.003,-0.988,-259.300,-70.900,-93.200,-0.125,2.938,0.000
02:06:06:003,0.018,0.004,-0.990,-258.900,-69.300,-92.100,0.312,2.875,-0.062
02:06:06:211,0.022,0.001,-0.990,-259.700,-71.100,-92.900,0.312,3.000,0.188
02:06:06:414,0.020,0.003,-0.997,-261.000,-71.200,-92.800,0.688,2.688,0.062
02:06:06:615,0.024,0.004,-0.991,-260.100,-71.500,-93.300,0.438,2.812,0.438
02:06:06:848,0.020,0.001,-0.992,-259.300,-70.800,-90.000,0.062,2.625,0.188
02:06:07:052,0.021,0.005,-0.993,-260.400,-71.100,-92.100,0.062,2.562,0.062
02:06:07:255,0.018,0.004,-0.990,-260.000,-72.200,-93.800,0.438,3.062,0.250
02:06:07:457,0.020,-0.000,-0.998,-259.800,-71.100,-91.500,0.312,2.625,0.062
02:06:07:659,0.018,0.000,-0.996,-260.200,-71.700,-92.400,0.000,3.062,0.250
02:06:07:873,0.019,0.001,-0.991,-260.300,-70.600,-91.300,-0.125,2.438,0.125
02:06:08:071,0.022,0.003,-0.992,-259.500,-70.400,-91.700,0.188,2.875,0.062
02:06:08:296,0.022,0.002,-0.990,-259.700,-72.500,-91.600,-0.062,3.188,0.062
02:06:08:503,0.023,0.004,-0.987,-257.900,-71.200,-93.500,-0.062,2.562,0.062
02:06:08:702,0.020,0.005,-0.988,-260.100,-71.500,-93.100,0.812,3.000,0.312
02:06:08:915,0.020,0.002,-0.997,-259.500,-71.600,-92.200,0.062,2.312,0.562
02:06:09:128,0.014,0.000,-0.995,-259.400,-71.600,-92.100,-0.312,2.438,0.062
02:06:09:341,0.022,0.000,-0.991,-259.000,-71.400,-91.500,0.188,3.375,-0.188
02:06:09:556,0.023,0.000,-0.992,-260.800,-72.300,-90.900,-0.188,2.500,0.125
02:06:09:781,0.016,0.004,-0.997,-259.500,-71.500,-91.200,0.500,2.812,0.062
