Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
02:04:40:568,[0.002935],0.024,0.000,-0.998,-260.600,-70.900,-91.900,-0.062,2.875
02:04:41:582,[0.002935],0.017,0.004,-0.987,-260.500,-71.400,-90.800,0.312,3.000
02:04:42:549,[0.002931],0.012,0.006,-0.990,-262.000,-71.600,-91.100,0.375,2.375
02:04:43:557,[0.002935],0.016,0.001,-0.996,-259.800,-71.600,-93.200,0.250,2.875
02:04:44:566,[0.002935],0.020,0.006,-0.990,-260.400,-72.500,-93.100,0.312,2.938
02:04:45:586,[0.002935],0.019,0.000,-0.994,-259.400,-71.500,-91.300,0.812,2.812
02:04:46:584,[0.002935],0.026,0.006,-0.991,-260.800,-71.500,-91.900,0.438,2.625
02:04:47:593,[0.002935],0.020,0.004,-0.997,-260.200,-70.500,-92.600,0.188,2.938
02:04:48:620,[0.002935],0.022,0.005,-0.991,-260.600,-71.900,-90.700,0.375,3.000
02:04:49:611,[0.002935],0.022,0.009,-0.996,-259.700,-71.800,-92.900,0.438,2.938
02:04:50:621,[0.002934],0.023,0.002,-1.000,-260.000,-72.000,-90.600,0.438,2.938
02:04:51:631,[0.002935],0.018,0.003,-0.995,-260.100,-71.500,-93.800,0.125,2.562
02:04:56:292,[0.002931],0.021,0.000,-0.987,-260.700,-70.700,-92.500,0.125,2.500
02:04:57:302,[0.002935],0.020,0.003,-0.990,-261.500,-70.500,-91.700,-0.125,3.000
02:04:58:310,[0.002935],0.021,0.000,-1.002,-258.600,-72.300,-93.400,-0.125,2.500
02:04:59:322,[0.002935],0.024,-0.000,-1.006,-261.300,-72.600,-94.200,-0.312,2.750
02:05:00:330,[0.002935],0.021,0.006,-0.992,-260.200,-71.500,-92.100,-0.188,3.000
02:05:01:339,[0.002935],0.017,-0.001,-0.996,-259.600,-70.700,-91.100,-0.250,2.875
02:05:02:347,[0.002935],0.022,0.003,-0.988,-261.100,-72.300,-92.300,0.125,2.500
02:05:03:355,[0.002935],0.021,0.004,-0.997,-259.100,-70.800,-94.100,0.438,2.625
