Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
23:31:39:683,0.028,-0.012,-0.996,-263.700,-72.400,-91.700,-0.188,2.812,0.188
23:31:39:854,0.026,-0.014,-0.992,-265.100,-73.000,-92.900,0.000,2.625,0.062
23:31:40:026,0.031,-0.012,-0.989,-265.400,-72.000,-93.400,0.438,3.500,0.250
23:31:40:182,0.029,-0.009,-0.995,-265.300,-72.100,-91.400,0.125,2.500,0.188
23:31:40:364,0.026,-0.007,-1.000,-263.900,-70.400,-93.600,0.375,2.938,0.188
23:31:40:539,0.029,-0.016,-0.996,-263.800,-72.600,-92.700,-0.500,2.812,0.312
23:31:40:696,0.030,-0.008,-0.993,-264.500,-72.800,-93.400,-0.062,3.062,-0.062
23:31:40:884,0.024,-0.011,-0.990,-265.300,-71.500,-92.300,-0.375,2.938,0.062
23:31:41:037,0.024,-0.012,-1.000,-265.500,-71.700,-91.500,0.438,2.812,-0.062
23:31:41:212,0.028,-0.015,-0.994,-265.800,-72.400,-91.400,0.250,2.750,0.438
23:31:41:375,0.022,-0.013,-0.997,-266.900,-71.000,-92.300,-0.250,2.812,0.188
23:31:41:518,0.026,-0.009,-0.996,-266.100,-70.900,-91.700,0.125,3.125,-0.188
23:31:41:722,0.023,-0.010,-0.992,-265.200,-72.200,-92.200,0.312,2.375,0.062
23:31:41:878,0.030,-0.008,-0.993,-265.100,-72.600,-93.900,0.312,2.500,-0.125
23:31:42:061,0.025,-0.009,-0.997,-265.100,-72.800,-92.700,-0.375,2.688,-0.062
23:31:42:219,0.031,-0.019,-0.995,-265.400,-71.300,-93.500,-0.125,3.000,0.125
23:31:42:400,0.032,-0.010,-0.991,-264.600,-71.300,-91.200,0.312,2.625,0.000
23:31:42:562,0.026,-0.010,-0.996,-265.100,-72.700,-93.100,-0.188,2.688,0.062
23:31:42:722,0.028,-0.012,-0.991,-263.400,-72.700,-89.400,-0.062,2.000,-0.188
23:31:42:912,0.029,-0.009,-1.001,-266.400,-72.000,-91.300,0.562,2.938,0.438
23:31:43:048,0.024,-0.018,-0.996,-264.600,-71.600,-92.700,-0.500,2.562,0.250
23:31:43:234,0.026,-0.014,-0.991,-265.400,-71.800,-92.500,0.000,2.750,0.125
23:31:43:413,0.030,-0.013,-0.996,-264.200,-72.500,-93.500,-0.062,2.375,0.062
23:31:43:557,0.027,-0.010,-0.991,-265.300,-72.800,-92.600,0.188,2.625,0.188
23:31:43:736,0.023,-0.010,-1.000,-264.500,-72.700,-91.000,0.250,2.812,0.375
23:31:43:902,0.024,-0.011,-0.997,-263.500,-71.300,-92.400,-0.125,2.562,0.312
23:31:44:077,0.029,-0.008,-0.993,-265.900,-72.000,-93.500,0.312,3.000,0.250
23:31:44:248,0.026,-0.012,-0.994,-265.800,-74.000,-92.300,0.188,2.688,0.250
23:31:44:406,0.026,-0.013,-0.985,-264.700,-71.400,-91.400,-0.125,3.000,0.250
23:31:44:593,0.026,-0.012,-0.998,-264.600,-72.700,-93.400,-0.062,2.438,0.438
23:31:44:752,0.023,-0.012,-0.996,-264.100,-72.900,-91.600,0.188,2.625,0.562
23:31:44:935,0.026,-0.010,-0.999,-264.100,-71.400,-92.500,-0.438,2.938,0.000
23:31:45:075,0.025,-0.014,-0.992,-264.400,-71.400,-91.500,0.312,2.500,0.125
23:31:45:272,0.030,-0.013,-0.994,-263.700,-70.800,-93.400,-0.125,2.750,-0.062
23:31:45:434,0.030,-0.013,-0.997,-265.100,-72.600,-93.200,-0.062,2.688,0.062
23:31:45:616,0.027,-0.010,-0.995,-264.100,-71.500,-92.300,-0.125,2.562,0.188
23:31:45:762,0.028,-0.009,-0.989,-265.200,-70.900,-91.100,0.625,3.125,0.312
23:31:45:941,0.025,-0.010,-0.989,-265.600,-71.900,-92.100,0.188,2.625,0.250
23:31:46:091,0.026,-0.014,-1.000,-265.000,-71.200,-92.700,-0.250,2.000,0.250
23:31:46:255,0.023,-0.012,-0.990,-265.600,-71.600,-92.200,-0.125,2.875,-0.312
