Time,Ax,Ay,Az,A_rms,Mx,My,Mz,M_rms
11:10:12:300,"['0.02', '-0.02', '-0.99', '0.57', '-252.90', '-80.10', '-91.20', '161.96']"
11:10:12:848,"['0.02', '-0.02', '-0.99', '0.57', '-252.20', '-79.20', '-91.90', '161.58']"
11:10:13:402,"['0.02', '-0.03', '-1.00', '0.58', '-253.60', '-80.50', '-92.00', '162.54']"
11:10:13:957,"['0.02', '-0.02', '-1.00', '0.58', '-253.50', '-81.70', '-93.00', '162.88']"
11:10:14:510,"['0.02', '-0.02', '-1.00', '0.58', '-252.40', '-81.30', '-91.40', '161.94']"
11:10:15:065,"['0.02', '-0.02', '-0.99', '0.57', '-252.90', '-80.20', '-90.70', '161.88']"
11:10:15:619,"['0.02', '-0.02', '-1.00', '0.58', '-252.70', '-81.30', '-90.00', '161.83']"
11:10:16:172,"['0.02', '-0.02', '-0.99', '0.57', '-252.60', '-80.50', '-92.20', '162.06']"
11:10:16:727,"['0.02', '-0.02', '-1.00', '0.58', '-252.10', '-79.50', '-92.30', '161.65']"
11:10:17:281,"['0.01', '-0.02', '-0.99', '0.57', '-251.60', '-80.40', '-91.00', '161.29']"
11:10:17:835,"['0.02', '-0.02', '-0.99', '0.57', '-253.30', '-79.80', '-89.70', '161.84']"
11:10:18:389,"['0.02', '-0.02', '-1.00', '0.58', '-252.90', '-79.90', '-93.20', '162.30']"
