Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
12:57:24:159,0.021,0.004,-0.992,-278.000,-105.400,-87.100,0.688,2.688,0.000
12:57:24:268,0.022,0.005,-1.004,-276.000,-105.900,-86.200,-0.250,2.000,0.188
12:57:24:376,0.020,0.005,-0.995,-276.700,-107.000,-85.900,0.250,2.750,-0.188
12:57:24:484,0.021,0.003,-0.992,-278.100,-105.800,-84.200,0.812,2.875,-0.188
12:57:24:592,0.020,0.002,-0.991,-278.500,-105.400,-85.300,-0.375,2.438,0.188
12:57:24:700,0.017,0.012,-0.991,-277.600,-105.500,-87.200,-0.062,2.750,-0.125
12:57:24:808,0.020,0.003,-0.991,-276.000,-105.700,-86.400,0.250,2.812,-0.062
12:57:24:916,0.014,0.007,-0.988,-278.000,-105.800,-84.300,0.188,2.312,-0.188
12:57:25:025,0.020,0.012,-0.995,-278.200,-105.800,-87.000,-0.938,3.000,-0.062
12:57:25:132,0.017,0.006,-0.996,-278.000,-106.800,-84.100,0.562,2.750,0.062
12:57:25:241,0.021,0.009,-0.995,-276.800,-106.400,-85.200,0.688,2.750,0.250
12:57:25:375,0.024,0.007,-0.996,-276.700,-105.700,-84.900,0.562,3.188,-0.062
12:57:25:496,0.020,0.003,-0.989,-276.100,-105.900,-86.500,-0.938,2.750,0.062
12:57:25:596,0.017,0.010,-0.996,-277.400,-106.500,-83.400,-0.688,2.188,-0.062
12:57:25:712,0.021,0.007,-0.997,-277.900,-105.900,-85.300,0.062,3.000,0.312
12:57:25:809,0.015,0.011,-0.994,-278.200,-106.700,-85.500,1.312,2.875,0.188
12:57:25:926,0.021,0.009,-0.997,-277.200,-106.300,-86.200,0.688,2.500,-0.062
12:57:26:040,0.016,0.012,-0.992,-275.900,-106.500,-83.600,-0.250,2.625,0.000
12:57:26:137,0.018,0.007,-0.992,-277.300,-106.100,-86.900,-0.562,2.375,0.125
12:57:26:245,0.017,0.009,-0.991,-275.700,-106.800,-84.100,0.000,2.625,0.000
12:57:26:352,0.016,0.011,-1.004,-278.200,-105.900,-84.200,-0.250,2.375,-0.062
12:57:26:458,0.013,0.008,-0.988,-276.400,-105.300,-83.600,-0.062,2.375,0.062
12:57:26:594,0.016,0.005,-0.991,-276.200,-105.200,-83.000,0.875,2.562,0.062
12:57:26:695,0.020,0.008,-0.992,-276.700,-106.800,-83.900,0.500,2.438,0.438
12:57:26:793,0.019,0.008,-1.001,-276.100,-107.200,-84.500,-0.125,2.688,0.062
12:57:26:899,0.020,0.005,-0.994,-278.600,-108.200,-83.600,0.688,2.750,-0.062
12:57:27:019,0.020,0.007,-0.990,-277.200,-107.000,-83.300,0.375,2.625,-0.125
12:57:27:128,0.020,0.006,-1.003,-278.400,-107.900,-86.600,0.500,2.500,0.125
12:57:27:243,0.021,0.007,-0.989,-277.300,-106.300,-82.900,-0.438,2.688,0.312
12:57:27:343,0.022,0.003,-0.987,-276.300,-106.200,-85.700,-0.500,2.375,0.125
12:57:27:441,0.014,0.011,-0.989,-276.400,-106.100,-85.800,0.062,2.500,-0.188
12:57:27:546,0.019,0.007,-0.998,-276.400,-107.100,-86.500,-0.375,2.750,-0.062
12:57:27:649,0.020,0.005,-1.000,-278.200,-104.900,-86.800,-0.688,2.312,0.125
12:57:27:775,0.021,0.003,-1.002,-277.700,-107.000,-85.700,0.750,3.062,-0.062
12:57:27:885,0.018,0.007,-1.005,-277.700,-106.000,-84.600,-0.688,2.938,0.188
12:57:27:977,0.020,0.008,-0.996,-276.700,-106.100,-87.600,1.000,2.875,0.125
12:57:28:099,0.017,0.009,-1.007,-277.200,-105.600,-86.500,0.750,2.625,-0.250
12:57:28:207,0.019,0.006,-0.992,-277.300,-107.100,-84.600,0.312,2.875,0.188
12:57:28:340,0.018,0.008,-1.000,-277.400,-105.500,-87.200,1.188,3.500,-0.188
12:57:28:429,0.020,0.005,-0.990,-277.200,-106.600,-85.800,0.750,2.812,0.125
12:57:28:546,0.018,0.012,-0.994,-278.600,-105.100,-86.500,0.312,2.438,0.188
12:57:28:657,0.020,0.005,-1.002,-277.200,-107.800,-86.300,0.188,2.375,0.062
12:57:28:760,0.022,0.011,-0.985,-277.500,-106.000,-87.100,0.875,2.875,-0.062
12:57:28:871,0.014,0.003,-1.013,-276.500,-105.600,-84.200,-0.062,2.875,0.062
12:57:28:964,0.022,0.007,-0.992,-278.100,-107.000,-85.100,-0.375,2.312,0.062
12:57:29:064,0.015,0.005,-0.990,-277.300,-106.800,-85.500,-0.812,2.375,0.000
12:57:29:174,0.016,0.006,-0.990,-275.100,-105.600,-86.100,0.312,2.812,-0.312
12:57:29:277,0.011,0.001,-0.981,-277.900,-105.500,-84.000,-0.125,2.438,0.125
12:57:29:376,0.004,-0.000,-0.999,-278.500,-106.300,-86.600,-1.062,2.750,0.250
12:57:29:495,0.020,0.001,-1.007,-277.000,-106.000,-85.200,1.438,2.875,0.250
12:57:29:602,0.025,0.004,-1.017,-277.100,-106.500,-84.300,0.250,2.625,-0.312
12:57:29:699,0.021,0.003,-0.998,-277.100,-105.300,-86.800,0.438,2.562,0.375
12:57:29:814,0.021,0.013,-1.002,-277.100,-105.500,-87.300,0.562,2.500,-0.750
12:57:29:926,0.033,-0.010,-0.971,-275.800,-105.200,-85.000,0.438,15.000,-6.438
12:57:30:037,0.078,0.052,-1.021,-278.600,-105.600,-87.400,-15.188,41.875,-3.562
12:57:30:153,0.148,0.101,-1.015,-281.000,-109.100,-90.900,-29.938,39.500,2.875
12:57:30:253,0.218,0.164,-0.980,-283.500,-109.900,-92.000,-8.188,37.875,5.375
12:57:30:365,0.263,0.142,-0.909,-285.700,-109.800,-95.400,-11.312,40.688,-0.562
12:57:30:466,0.305,0.212,-0.966,-286.100,-108.800,-95.100,-2.125,26.750,-18.688
12:57:30:567,0.322,0.226,-0.855,-284.600,-111.700,-95.800,-30.625,23.562,-30.938
12:57:30:690,0.408,0.214,-0.785,-284.300,-115.200,-97.600,-10.312,64.188,-11.625
12:57:30:804,0.498,0.252,-0.850,-287.100,-112.000,-99.500,27.562,53.688,-3.188
12:57:30:898,0.540,0.196,-0.780,-289.600,-111.800,-101.800,24.500,54.500,-2.438
12:57:31:031,0.620,0.125,-0.841,-289.500,-108.700,-98.800,46.500,7.375,15.438
