Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
23:50:54:611,0.028,-0.011,-0.992,-266.000,-72.600,-92.300,0.062,2.750,0.000
23:50:54:768,0.028,-0.012,-0.996,-265.700,-72.300,-92.600,0.375,2.500,0.375
23:50:54:950,0.029,-0.018,-0.995,-267.700,-72.000,-92.000,-0.250,2.250,0.188
23:50:55:121,0.027,-0.010,-0.992,-263.500,-72.100,-92.400,0.375,3.125,0.375
23:50:55:295,0.023,-0.008,-0.996,-265.800,-72.500,-93.100,-0.500,2.625,-0.250
23:50:55:444,0.023,-0.009,-1.000,-265.600,-72.400,-93.600,0.312,2.500,0.312
23:50:55:625,0.021,-0.012,-0.994,-264.200,-70.300,-92.800,0.125,2.875,0.062
23:50:55:780,0.025,-0.011,-0.991,-266.700,-71.800,-92.700,0.188,2.750,0.438
23:50:55:960,0.022,-0.009,-0.997,-263.900,-71.800,-94.000,0.375,2.812,-0.062
23:50:56:160,0.028,-0.014,-0.994,-265.400,-70.900,-93.400,-0.312,2.438,0.438
23:50:56:278,0.032,-0.011,-0.995,-266.200,-72.200,-93.300,-0.062,3.375,0.000
23:50:56:481,0.028,-0.020,-0.993,-264.500,-72.300,-91.900,-0.125,3.375,0.125
23:50:56:608,0.024,-0.014,-0.989,-264.700,-73.400,-91.800,0.438,2.750,0.312
23:50:56:815,0.025,-0.011,-0.991,-265.400,-71.700,-92.700,-0.062,2.500,0.062
23:50:56:980,0.030,-0.015,-0.996,-264.200,-70.700,-91.400,0.500,2.750,0.312
23:50:57:149,0.025,-0.008,-0.989,-264.600,-71.400,-93.900,0.062,2.750,0.375
23:50:57:320,0.023,-0.007,-0.996,-264.700,-70.500,-93.700,0.562,2.562,0.125
23:50:57:483,0.025,-0.009,-0.992,-265.700,-71.900,-92.500,-0.250,2.438,0.062
23:50:57:661,0.026,-0.012,-0.996,-265.100,-72.400,-91.100,0.062,2.438,0.062
23:50:57:821,0.028,-0.011,-0.999,-267.000,-71.900,-92.300,0.000,2.750,0.188
23:50:57:979,0.027,-0.009,-0.995,-265.800,-72.600,-92.900,0.125,2.812,0.312
23:50:58:137,0.031,-0.012,-0.991,-265.600,-71.300,-94.300,-0.750,2.312,0.125
23:50:58:323,0.029,-0.008,-0.990,-265.400,-72.100,-92.900,-0.312,2.562,0.000
23:50:58:478,0.029,-0.007,-1.000,-265.500,-72.700,-93.600,0.125,3.125,0.250
23:50:58:664,0.028,-0.010,-1.001,-264.600,-73.100,-93.200,0.250,2.312,0.062
23:50:58:808,0.022,-0.006,-0.991,-265.500,-71.600,-92.300,-0.062,2.188,0.188
23:50:58:977,0.023,-0.009,-0.991,-265.200,-72.100,-94.000,0.125,2.812,0.000
23:50:59:147,0.031,-0.013,-1.000,-265.500,-73.500,-92.700,-0.500,2.750,0.062
23:50:59:343,0.025,-0.015,-1.001,-266.100,-71.900,-92.600,-0.438,2.750,0.438
23:50:59:494,0.022,-0.011,-0.996,-266.900,-72.600,-94.200,-0.312,2.438,0.250
23:50:59:684,0.026,-0.010,-0.996,-265.500,-71.300,-93.200,0.125,2.625,0.188
23:50:59:806,0.027,-0.014,-0.992,-265.400,-72.500,-92.100,0.000,2.312,0.188
23:51:00:023,0.027,-0.009,-0.997,-263.400,-71.800,-92.800,0.312,2.812,0.438
23:51:00:182,0.029,-0.011,-0.990,-265.300,-71.900,-92.700,-0.188,2.562,0.375
23:51:00:352,0.027,-0.008,-0.992,-264.900,-72.300,-94.200,0.125,2.875,0.000
23:51:00:497,0.024,-0.012,-0.988,-263.300,-71.000,-93.200,-0.312,2.375,0.188
23:51:00:678,0.031,-0.016,-0.996,-267.300,-71.500,-92.400,0.312,3.188,0.000
23:51:00:818,0.025,-0.011,-0.989,-265.100,-72.200,-94.400,-0.125,2.562,0.500
23:51:01:006,0.024,-0.011,-0.994,-264.500,-72.200,-92.800,-0.312,2.500,0.125
23:51:01:146,0.028,-0.009,-0.996,-265.600,-72.100,-92.100,0.062,2.812,-0.062
23:51:01:343,0.022,-0.016,-0.999,-265.200,-72.400,-94.000,0.688,2.938,0.125
23:51:01:487,0.023,-0.015,-0.997,-266.100,-72.200,-92.500,0.438,3.312,0.250
23:51:01:686,0.029,-0.016,-0.998,-263.700,-72.400,-92.300,-0.625,2.938,0.312
23:51:01:869,0.029,-0.014,-0.997,-266.400,-73.100,-92.300,0.438,2.625,-0.188
