Time,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz
21:53:24:675,0.025,-0.012,-0.994,-264.800,-73.000,-91.800,-0.375,3.062,0.188
21:53:25:743,0.026,-0.011,-0.992,-265.300,-72.800,-91.000,-0.438,2.875,0.062
21:53:26:810,0.027,-0.013,-0.990,-265.600,-70.000,-91.600,0.188,2.500,0.375
21:53:27:879,0.025,-0.011,-0.988,-265.300,-72.200,-90.900,-0.375,2.500,-0.062
21:53:28:946,0.032,-0.011,-0.992,-265.700,-71.900,-92.900,0.500,2.500,0.062
21:53:30:013,0.013,-0.005,-0.905,-266.200,-73.200,-93.400,0.000,1.875,0.188
21:53:31:081,0.030,-0.016,-0.996,-265.900,-72.100,-92.900,0.000,2.500,-0.125
21:53:32:148,0.025,-0.013,-0.995,-265.500,-70.700,-90.800,0.188,3.000,0.000
