01:57:06:174,0.04684799909591675,-0.0058559998869895935,-1.0291919708251953,-0.25,3.25,0.0
01:57:06:234,0.04050400108098984,0.0014639999717473984,-0.9886879920959473,-0.4375,2.6875,0.25
01:57:06:294,0.04636000096797943,-0.0029279999434947968,-1.0003999471664429,-0.25,2.5,0.125
01:57:06:354,0.0453840009868145,-0.004879999905824661,-0.9906399846076965,-0.0625,2.4375,0.1875
01:57:06:414,0.044895999133586884,0.0014639999717473984,-0.9886879920959473,0.5,2.8125,0.0625
01:57:06:474,0.04636000096797943,-0.0058559998869895935,-0.9955199956893921,0.5625,2.5,-0.125
01:57:06:534,0.044895999133586884,-0.006831999868154526,-0.9925919771194458,-0.125,2.8125,0.1875
01:57:06:594,0.043432001024484634,-0.004879999905824661,-0.9974719882011414,0.3125,2.8125,0.375
01:57:06:659,0.04733600094914436,-0.0029279999434947968,-0.9935680031776428,-0.1875,2.6875,0.25
01:57:06:719,0.045871999114751816,-0.003903999924659729,-0.9974719882011414,0.0625,3.0,0.1875
01:57:06:779,0.0424560010433197,-0.004879999905824661,-0.9964960217475891,-0.125,2.1875,0.1875
01:57:06:839,0.04050400108098984,-0.007807999849319458,-0.9916160106658936,-0.3125,3.0625,0.3125
01:57:06:899,0.04684799909591675,-0.0009759999811649323,-0.9974719882011414,-0.1875,2.125,0.125
01:57:06:959,0.048312000930309296,0.0,-0.9906399846076965,0.0,2.375,0.5625
01:57:07:019,0.04294399917125702,-0.004879999905824661,-0.9886879920959473,-0.0625,2.125,0.4375
01:57:07:081,0.048312000930309296,-0.004879999905824661,-0.9896640181541443,-0.375,2.25,0.0625
01:57:07:137,0.04684799909591675,-0.0019519999623298645,-1.0033279657363892,0.0625,2.375,0.125
01:57:07:196,0.045871999114751816,-0.0029279999434947968,-0.9925919771194458,0.0625,2.375,0.125
01:57:07:256,0.043432001024484634,-0.003903999924659729,-0.9916160106658936,0.1875,2.125,0.375
01:57:07:316,0.04636000096797943,-0.007807999849319458,-0.9945440292358398,-0.3125,2.5,0.1875
01:57:07:376,0.04391999915242195,-0.0058559998869895935,-0.9896640181541443,-0.0625,2.375,0.1875
01:57:07:436,0.045871999114751816,-0.003903999924659729,-1.002351999282837,-0.5,2.5625,0.0625
01:57:07:496,0.04294399917125702,-0.0058559998869895935,-0.9896640181541443,-0.1875,2.9375,0.125
01:57:07:556,0.04196799919009209,-0.0058559998869895935,-0.9896640181541443,-0.25,2.125,0.125
01:57:07:616,0.048312000930309296,-0.003903999924659729,-0.9925919771194458,0.0,3.0,0.125
01:57:07:676,0.045871999114751816,-0.0024399999529123306,-0.9974719882011414,0.0,2.375,0.0625
01:57:07:736,0.04928800091147423,-0.0029279999434947968,-0.9945440292358398,0.0625,2.9375,0.0625
01:57:07:796,0.045871999114751816,-0.004879999905824661,-0.9916160106658936,0.0,2.1875,0.25
01:57:07:856,0.04928800091147423,-0.0058559998869895935,-0.9955199956893921,-0.1875,2.3125,0.25
01:57:07:916,0.04294399917125702,-0.006831999868154526,-0.9945440292358398,0.125,2.875,-0.125
01:57:07:976,0.0453840009868145,0.0004879999905824661,-0.9916160106658936,0.5625,3.0625,-0.25
01:57:08:037,0.044895999133586884,-0.007807999849319458,-0.9945440292358398,0.1875,2.375,0.125
01:57:08:097,0.04684799909591675,-0.007807999849319458,-0.9925919771194458,0.0,2.5625,-0.1875
01:57:08:158,0.04148000106215477,-0.003415999934077263,-0.9945440292358398,0.3125,2.9375,0.1875
