Time,Ax,Ay,Az,Gx,Gy,Gz
18:54:17:812,0.4967840015888214,-0.011711999773979187,-0.4567680060863495,-34.9375,69.8125,25.4375
18:54:17:866,0.4328559935092926,0.02000799961388111,-0.230335995554924,45.875,77.6875,64.0625
18:54:17:926,0.19422399997711182,-0.23765599727630615,-0.062463998794555664,61.125,117.5,83.75
18:54:17:986,0.23375199735164642,-0.18055999279022217,-0.47091999650001526,111.6875,54.75,170.25
18:54:18:047,-0.14786399900913239,-0.2640079855918884,-0.2962160110473633,80.1875,-175.4375,148.5625
18:54:18:103,-0.5577840209007263,-0.8793759942054749,-0.7246800065040588,207.0,-251.75,200.4375
18:54:18:162,-0.9442800283432007,-1.458143949508667,-0.8364319801330566,186.375,-241.875,232.5
18:54:18:222,-1.230247974395752,-1.9988479614257812,-0.8871840238571167,200.75,-273.5625,290.625
18:54:18:282,-0.6236640214920044,-1.843176007270813,-0.8906000256538391,160.125,-203.4375,256.875
18:54:18:342,-0.6182960271835327,-1.0721360445022583,-0.13810400664806366,106.875,97.625,89.25
18:54:18:402,-0.46164798736572266,-1.052616000175476,-0.43139201402664185,6.4375,135.6875,9.1875
18:54:18:462,-0.38600799441337585,-0.8784000277519226,-0.28889599442481995,2.5,61.625,36.25
18:54:18:522,-0.293287992477417,-0.8452159762382507,-0.3362320065498352,10.125,9.1875,37.4375
18:54:18:582,-0.33671998977661133,-0.9603840112686157,-0.3445279896259308,-28.9375,-26.8125,16.8125
18:54:18:638,-0.40455201268196106,-1.0687199831008911,-0.399183988571167,-87.6875,-52.625,-41.875
18:54:18:697,-0.36844000220298767,-0.9930800199508667,-0.2391200065612793,-79.375,-49.3125,-40.25
18:54:18:757,-0.23765599727630615,-0.8256959915161133,-0.16201600432395935,-22.8125,21.75,-23.625
18:54:18:817,-0.23082399368286133,-0.773967981338501,-0.15615999698638916,9.875,77.8125,-21.4375
18:54:18:877,-0.30451199412345886,-0.9086560010910034,-0.23131200671195984,20.375,99.25,0.4375
18:54:18:937,-0.6807600259780884,-1.4054399728775024,-0.873520016670227,61.6875,29.9375,-36.3125
18:54:18:997,-0.7900720238685608,-1.3912880420684814,-0.798367977142334,34.875,-41.8125,-129.75
18:54:19:053,-0.9945440292358398,-1.2883199453353882,-0.3050000071525574,-15.0625,78.25,-190.25
18:54:19:115,-0.7241920232772827,-1.0394400358200073,-0.3903999924659729,64.6875,209.25,-169.5
18:54:19:173,-0.7529839873313904,-0.9193919897079468,-0.33769598603248596,12.25,141.0625,-149.6875
18:54:19:233,-0.563152015209198,-0.6031680107116699,-0.28596800565719604,-13.25,102.75,-134.5
18:54:19:293,-0.5094720125198364,-0.4962959885597229,-0.28011199831962585,-21.375,67.625,-80.3125
18:54:19:353,-0.5665680170059204,-0.578279972076416,-0.24107199907302856,-18.3125,5.0,15.0625
18:54:19:413,-0.42895200848579407,-0.5816959738731384,-0.2840160131454468,-1.625,-36.4375,94.6875
18:54:19:473,-0.47091999650001526,-0.7075999975204468,-0.31622400879859924,-16.0625,-41.125,138.1875
18:54:19:533,-0.4718959927558899,-0.9223200082778931,-0.38259199261665344,-49.0625,-59.1875,182.3125
